卡号,交易日期,交易时间,站点名称,行业名称,交易金额,交易性质
740078545,2015-04-01,19:00:59,9号线打浦桥,地铁,0.00,非优惠
740078545,2015-04-01,19:41:30,8号线江月路,地铁,5.00,非优惠
2001342355,2015-04-01,18:52:53,1号线汶水路,地铁,0.00,非优惠
2001342355,2015-04-01,20:03:43,12号线金海路,地铁,5.00,非优惠
2001342355,2015-04-01,08:51:59,2号线南京东路,地铁,3.00,优惠
2001342355,2015-04-01,07:41:44,6号线博兴路,地铁,0.00,非优惠
2803054241,2015-04-01,17:07:10,13号线金沙江路,地铁,0.00,非优惠
2803054241,2015-04-01,17:21:38,11号线真如,地铁,3.00,非优惠
2601591302,2015-04-01,19:12:27,2号线江苏路,地铁,0.00,非优惠
2601591302,2015-04-01,09:36:11,7号线行知路,地铁,0.00,非优惠
2601591302,2015-04-01,10:07:51,2号线江苏路,地铁,4.00,非优惠
2601591302,2015-04-01,19:44:11,7号线行知路,地铁,4.00,非优惠
2802880644,2015-04-01,20:47:07,3号线延安西路,地铁,4.00,非优惠
2802880644,2015-04-01,20:27:36,3号线上海南站,地铁,0.00,非优惠
2802280821,2015-04-01,15:41:51,7号线罗南新村,地铁,0.00,非优惠
2802280821,2015-04-01,16:00:46,7号线南陈路,地铁,4.00,非优惠
2802280821,2015-04-01,17:35:24,3号线水产路,地铁,0.00,非优惠
2802280821,2015-04-01,13:28:21,8号线黄兴路,地铁,0.00,非优惠
2802280821,2015-04-01,18:27:57,8号线黄兴路,地铁,4.00,优惠
2802280821,2015-04-01,15:01:31,7号线罗南新村,地铁,6.00,非优惠
2402576355,2015-04-01,09:46:32,1号线汉中路,地铁,3.00,优惠
2402576355,2015-04-01,08:43:33,1号线彭浦新村,地铁,0.00,非优惠
2002160014,2015-04-01,22:36:01,3号线江湾镇,地铁,1.00,非优惠
2002160014,2015-04-01,21:48:14,1号线人民广场,地铁,0.00,非优惠
2002160014,2015-04-01,10:15:15,1号线中山北路,地铁,0.00,非优惠
2002160014,2015-04-01,22:14:59,3号线上海火车站,地铁,0.00,非优惠
2002160014,2015-04-01,19:29:23,1号线人民广场,地铁,3.00,非优惠
2002160014,2015-04-01,21:59:46,1号线上海火车站,地铁,3.00,非优惠
2002160014,2015-04-01,19:13:18,1号线中山北路,地铁,0.00,非优惠
2002160014,2015-04-01,14:18:42,1号线中山北路,地铁,4.00,非优惠
2002160014,2015-04-01,11:09:41,8号线翔殷路,地铁,4.00,非优惠
2002160014,2015-04-01,13:36:30,8号线翔殷路,地铁,0.00,非优惠
2603353353,2015-04-01,06:35:31,1号线富锦路,地铁,3.00,优惠
2603353353,2015-04-01,17:29:01,1号线通河新村,地铁,0.00,非优惠
2603353353,2015-04-01,06:06:47,1号线汶水路,地铁,0.00,非优惠
2603353353,2015-04-01,17:43:03,1号线汶水路,地铁,3.00,非优惠
402545333,2015-04-01,17:00:55,8号线江月路,地铁,0.00,非优惠
402545333,2015-04-01,17:37:15,4号线南浦大桥,地铁,5.00,非优惠
402545333,2015-04-01,08:15:25,8号线江月路,地铁,5.00,非优惠
402545333,2015-04-01,07:43:55,4号线南浦大桥,地铁,0.00,非优惠
2902605626,2015-04-01,09:52:13,8号线虹口足球场,地铁,3.00,非优惠
2902605626,2015-04-01,15:30:47,8号线虹口足球场,地铁,0.00,非优惠
2902605626,2015-04-01,15:43:41,8号线黄兴路,地铁,3.00,非优惠
2902605626,2015-04-01,09:39:31,8号线黄兴路,地铁,0.00,非优惠
2003122032,2015-04-01,17:51:40,2号线徐泾东,地铁,6.00,非优惠
2003122032,2015-04-01,16:45:36,2号线金科路,地铁,0.00,非优惠
2003122032,2015-04-01,06:35:34,2号线徐泾东,地铁,0.00,非优惠
2003122032,2015-04-01,07:44:21,2号线金科路,地铁,6.00,非优惠
202496180,2015-04-01,10:16:35,8号线成山路,地铁,0.00,非优惠
202496180,2015-04-01,14:35:45,9号线星中路,地铁,0.00,非优惠
202496180,2015-04-01,15:14:59,8号线成山路,地铁,3.00,优惠
202496180,2015-04-01,10:58:06,9号线星中路,地铁,4.00,非优惠
3750020988,2015-04-01,09:15:06,1号线陕西南路,地铁,4.00,非优惠
3750020988,2015-04-01,08:38:58,2号线北新泾,地铁,0.00,非优惠
3750020988,2015-04-01,19:02:29,1号线陕西南路,地铁,0.00,非优惠
3750020988,2015-04-01,19:35:56,2号线北新泾,地铁,4.00,非优惠
740739465,2015-04-01,14:30:33,7号线上海大学站,地铁,0.00,非优惠
740739465,2015-04-01,15:39:23,1号线莲花路,地铁,4.00,优惠
740739465,2015-04-01,12:55:08,7号线上海大学站,地铁,4.00,优惠
740739465,2015-04-01,11:56:28,1号线莲花路,地铁,0.00,非优惠
3002425546,2015-04-01,07:48:12,2号线世纪公园,地铁,0.00,非优惠
3002425546,2015-04-01,22:48:20,1号线上海火车站,地铁,0.00,非优惠
3002425546,2015-04-01,07:57:52,2号线东昌路,地铁,3.00,非优惠
500282921,2015-04-01,19:11:43,6号线临沂新村,地铁,5.00,非优惠
500282921,2015-04-01,18:26:30,2号线威宁路,地铁,0.00,非优惠
500282921,2015-04-01,07:52:08,6号线临沂新村,地铁,0.00,非优惠
500282921,2015-04-01,08:39:52,2号线威宁路,地铁,5.00,非优惠
400381965,2015-04-01,18:10:08,3号线江湾镇,地铁,0.00,非优惠
400381965,2015-04-01,17:41:51,1号线上海火车站,地铁,4.00,非优惠
400381965,2015-04-01,17:19:57,1号线徐家汇,地铁,0.00,非优惠
400381965,2015-04-01,08:18:27,4号线上海体育馆,地铁,5.00,非优惠
400381965,2015-04-01,17:47:58,3号线上海火车站,地铁,0.00,非优惠
400381965,2015-04-01,07:33:15,3号线江湾镇,地铁,0.00,非优惠
102021955,2015-04-01,17:19:01,16号线新场,地铁,6.00,非优惠
102021955,2015-04-01,16:26:11,6号线北洋泾路,地铁,0.00,非优惠
2903107466,2015-04-01,18:16:52,8号线西藏南路,地铁,0.00,非优惠
2903107466,2015-04-01,08:37:22,8号线西藏南路,地铁,3.00,优惠
2903107466,2015-04-01,08:04:50,2号线金科路,地铁,0.00,非优惠
2903107466,2015-04-01,18:48:28,2号线张江高科,地铁,4.00,非优惠
3003288390,2015-04-01,08:38:58,9号线七宝,地铁,4.00,优惠
3003288390,2015-04-01,08:07:47,9号线松江大学城,地铁,0.00,非优惠
2103633226,2015-04-01,13:04:05,1号线锦江乐园,地铁,0.00,非优惠
2103633226,2015-04-01,13:36:12,2号线南京东路,地铁,4.00,非优惠
2103633226,2015-04-01,17:15:53,10号线水城路,地铁,4.00,非优惠
2103633226,2015-04-01,16:46:12,10号线南京东路,地铁,0.00,非优惠
2602022534,2015-04-01,21:26:26,10号线海伦路,地铁,0.00,非优惠
2602022534,2015-04-01,08:44:15,8号线四平路,地铁,4.00,优惠
2602022534,2015-04-01,07:48:30,9号线七宝,地铁,0.00,非优惠
2602022534,2015-04-01,22:06:44,10号线上海动物园,地铁,5.00,非优惠
401481380,2015-04-01,07:20:49,9号线杨高中路,地铁,0.00,非优惠
401481380,2015-04-01,19:22:03,9号线杨高中路,地铁,4.00,非优惠
401481380,2015-04-01,18:43:59,3号线虹桥路,地铁,0.00,非优惠
401481380,2015-04-01,07:59:59,3号线虹桥路,地铁,4.00,非优惠
2004780970,2015-04-01,15:45:45,8号线江月路,地铁,5.00,非优惠
2004780970,2015-04-01,15:03:44,8号线曲阜路,地铁,0.00,非优惠
3000953650,2015-04-01,11:38:33,7号线大华三路,地铁,4.00,非优惠
3000953650,2015-04-01,11:12:30,7号线肇嘉浜路,地铁,0.00,优惠
2304177237,2015-04-01,08:23:57,1号线徐家汇,地铁,4.00,优惠
2304177237,2015-04-01,15:52:23,1号线徐家汇,地铁,4.00,非优惠
2304177237,2015-04-01,13:07:55,8号线江浦路,地铁,4.00,非优惠
2304177237,2015-04-01,13:07:48,8号线江浦路,地铁,0.00,优惠
2304177237,2015-04-01,17:43:43,1号线通河新村,地铁,5.00,非优惠
2304177237,2015-04-01,07:39:53,1号线通河新村,地铁,0.00,非优惠
2304177237,2015-04-01,15:02:23,8号线江浦路,地铁,0.00,非优惠
2304177237,2015-04-01,17:02:10,1号线徐家汇,地铁,0.00,非优惠
2901783460,2015-04-01,09:34:51,2号线南京西路,地铁,5.00,非优惠
2901783460,2015-04-01,08:51:50,1号线共富新村,地铁,0.00,非优惠
2401320182,2015-04-01,18:44:12,9号线徐家汇,地铁,3.00,非优惠
2401320182,2015-04-01,18:27:30,11号线曹杨路,地铁,0.00,非优惠
2201945881,2015-04-01,19:53:00,3号线宜山路,地铁,0.00,非优惠
2201945881,2015-04-01,17:35:41,3号线龙漕路,地铁,0.00,非优惠
2201945881,2015-04-01,20:03:25,3号线龙漕路,地铁,3.00,非优惠
2201945881,2015-04-01,17:47:40,3号线宜山路,地铁,2.00,优惠
2401983550,2015-04-01,19:19:26,4号线上海体育馆,地铁,4.00,非优惠
2401983550,2015-04-01,18:50:17,2号线东昌路,地铁,0.00,非优惠
401940721,2015-04-01,13:52:07,4号线南浦大桥,地铁,3.00,非优惠
401940721,2015-04-01,13:35:12,4号线上海体育场,地铁,0.00,非优惠
2900537806,2015-04-01,18:01:05,4号线世纪大道,地铁,0.00,非优惠
2900537806,2015-04-01,18:10:32,2号线世纪公园,地铁,3.00,非优惠
2900673946,2015-04-01,16:56:50,1号线汶水路,地铁,0.00,非优惠
2900673946,2015-04-01,18:03:33,5号线颛桥,地铁,5.00,优惠
2001456786,2015-04-01,20:01:50,7号线顾村公园,地铁,5.00,非优惠
2001456786,2015-04-01,05:51:50,7号线顾村公园,地铁,0.00,非优惠
2001456786,2015-04-01,06:39:12,1号线人民广场,地铁,5.00,非优惠
2001456786,2015-04-01,19:12:38,1号线人民广场,地铁,0.00,非优惠
2302065017,2015-04-01,08:06:52,1号线上海马戏城,地铁,2.00,优惠
2302065017,2015-04-01,07:46:49,1号线彭浦新村,地铁,0.00,非优惠
101721673,2015-04-01,21:47:07,8号线西藏南路,地铁,5.00,非优惠
101721673,2015-04-01,07:04:17,8号线西藏南路,地铁,0.00,非优惠
101721673,2015-04-01,08:14:23,3号线铁力路,地铁,5.00,非优惠
101721673,2015-04-01,20:45:53,3号线铁力路,地铁,0.00,非优惠
2103425742,2015-04-01,09:17:25,8号线人民广场,地铁,2.00,优惠
2103425742,2015-04-01,09:12:37,8号线大世界,地铁,0.00,非优惠
2402019618,2015-04-01,08:36:30,2号线金科路,地铁,4.00,优惠
2402019618,2015-04-01,17:49:35,2号线金科路,地铁,0.00,非优惠
2402019618,2015-04-01,08:01:51,16号线航头东,地铁,0.00,非优惠
2402019618,2015-04-01,18:25:50,16号线航头东,地铁,5.00,非优惠
3101740769,2015-04-01,21:52:09,10号线龙柏新村,地铁,0.00,非优惠
3101740769,2015-04-01,22:13:44,3号线延安西路,地铁,4.00,非优惠
3101740769,2015-04-01,12:11:14,10号线龙柏新村,地铁,4.00,非优惠
3101740769,2015-04-01,11:46:52,3号线延安西路,地铁,0.00,非优惠
3002487538,2015-04-01,13:29:38,2号线虹桥火车站,地铁,0.00,非优惠
3002487538,2015-04-01,15:09:22,2号线虹桥火车站,地铁,3.00,非优惠
3002487538,2015-04-01,15:00:24,2号线徐泾东,地铁,0.00,非优惠
3002487538,2015-04-01,13:36:17,2号线徐泾东,地铁,3.00,非优惠
2000012156,2015-04-01,19:16:08,7号线芳华路,地铁,4.00,非优惠
2000012156,2015-04-01,07:00:51,7号线芳华路,地铁,0.00,非优惠
2000012156,2015-04-01,07:18:14,7号线长清路,地铁,3.00,优惠
2000012156,2015-04-01,19:00:27,7号线长清路,地铁,0.00,非优惠
3102864422,2015-04-01,18:09:31,8号线陆家浜路,地铁,0.00,非优惠
3102864422,2015-04-01,18:20:20,4号线世纪大道,地铁,3.00,非优惠
3102864422,2015-04-01,08:51:47,4号线世纪大道,地铁,0.00,非优惠
3102864422,2015-04-01,09:06:37,8号线陆家浜路,地铁,3.00,非优惠
2600863305,2015-04-01,09:21:58,16号线惠南,地铁,0.00,非优惠
2600863305,2015-04-01,19:14:43,16号线航头东,地铁,6.00,非优惠
2600863305,2015-04-01,18:02:39,10号线五角场,地铁,0.00,非优惠
2600863305,2015-04-01,11:00:17,10号线五角场,地铁,8.00,非优惠
2802434633,2015-04-01,08:10:38,1号线通河新村,地铁,0.00,非优惠
2802434633,2015-04-01,19:48:30,1号线通河新村,地铁,4.00,非优惠
2802434633,2015-04-01,08:44:00,1号线陕西南路,地铁,4.00,非优惠
2802434633,2015-04-01,19:16:06,1号线陕西南路,地铁,0.00,非优惠
700571340,2015-04-01,09:45:48,7号线肇嘉浜路,地铁,0.00,非优惠
700571340,2015-04-01,09:35:01,7号线肇嘉浜路,地铁,6.00,非优惠
700571340,2015-04-01,12:53:18,1号线莲花路,地铁,0.00,非优惠
700571340,2015-04-01,10:15:58,1号线莲花路,地铁,4.00,非优惠
700571340,2015-04-01,08:34:47,5号线华宁路,地铁,0.00,非优惠
700571340,2015-04-01,13:28:45,5号线华宁路,地铁,5.00,非优惠
2903886500,2015-04-01,17:42:16,9号线打浦桥,地铁,4.00,非优惠
2903886500,2015-04-01,07:54:43,2号线张江高科,地铁,4.00,非优惠
2903886500,2015-04-01,07:24:32,9号线打浦桥,地铁,0.00,非优惠
2903886500,2015-04-01,17:09:48,2号线张江高科,地铁,0.00,非优惠
2603898636,2015-04-01,18:15:22,9号线醉白池,地铁,0.00,非优惠
2603898636,2015-04-01,18:46:18,9号线九亭,地铁,4.00,优惠
2303292570,2015-04-01,17:59:46,8号线鞍山新村,地铁,3.00,非优惠
2303292570,2015-04-01,07:11:33,8号线曲阳路,地铁,3.00,非优惠
2303292570,2015-04-01,06:41:18,8号线鞍山新村,地铁,0.00,非优惠
2303292570,2015-04-01,17:49:50,8号线曲阳路,地铁,0.00,非优惠
2502951346,2015-04-01,19:02:30,6号线高青路,地铁,4.00,非优惠
2502951346,2015-04-01,07:45:47,6号线高青路,地铁,0.00,非优惠
2502951346,2015-04-01,18:41:59,4号线世纪大道,地铁,0.00,非优惠
2502951346,2015-04-01,08:09:59,4号线世纪大道,地铁,4.00,非优惠
2802788893,2015-04-01,18:03:07,3号线殷高西路,地铁,0.00,非优惠
2802788893,2015-04-01,09:06:02,3号线殷高西路,地铁,3.00,优惠
2802788893,2015-04-01,08:30:31,3号线江杨北路,地铁,0.00,非优惠
2802788893,2015-04-01,18:41:10,3号线江杨北路,地铁,4.00,非优惠
2702047803,2015-04-01,21:09:39,2号线中山公园,地铁,4.00,非优惠
2702047803,2015-04-01,20:42:38,2号线虹桥火车站,地铁,0.00,非优惠
2801616727,2015-04-01,07:00:31,6号线金桥路,地铁,0.00,非优惠
2801616727,2015-04-01,07:14:24,6号线源深体育中心,地铁,2.00,优惠
2003690799,2015-04-01,18:29:25,9号线九亭,地铁,0.00,非优惠
2003690799,2015-04-01,08:32:41,9号线九亭,地铁,3.00,优惠
2003690799,2015-04-01,18:39:43,9号线泗泾,地铁,4.00,非优惠
2003690799,2015-04-01,08:15:22,9号线泗泾,地铁,0.00,非优惠
201092904,2015-04-01,17:39:03,13号线金沙江西路,地铁,4.00,非优惠
201092904,2015-04-01,07:54:25,13号线金沙江路,地铁,4.00,非优惠
201092904,2015-04-01,07:34:13,13号线金沙江西路,地铁,0.00,非优惠
201092904,2015-04-01,17:19:27,13号线金沙江路,地铁,0.00,非优惠
2101357735,2015-04-01,17:41:59,8号线曲阳路,地铁,4.00,非优惠
2101357735,2015-04-01,08:42:14,4号线世纪大道,地铁,4.00,非优惠
2101357735,2015-04-01,17:10:24,4号线世纪大道,地铁,0.00,非优惠
2101357735,2015-04-01,08:08:56,8号线曲阳路,地铁,0.00,非优惠
2902084089,2015-04-01,09:00:30,2号线浦东国际机场,地铁,4.00,优惠
2902084089,2015-04-01,08:31:56,2号线创新中路,地铁,0.00,非优惠
2102222106,2015-04-01,09:31:08,2号线徐泾东,地铁,4.00,非优惠
2102222106,2015-04-01,07:09:44,7号线芳华路,地铁,0.00,非优惠
2102222106,2015-04-01,08:45:39,7号线肇嘉浜路,地铁,0.00,非优惠
2102222106,2015-04-01,07:38:33,7号线肇嘉浜路,地铁,3.00,优惠
601444446,2015-04-01,08:11:22,1号线人民广场,地铁,4.00,非优惠
601444446,2015-04-01,17:35:22,8号线人民广场,地铁,0.00,非优惠
601444446,2015-04-01,07:37:52,6号线东明路,地铁,0.00,非优惠
601444446,2015-04-01,17:56:31,8号线成山路,地铁,4.00,非优惠
2803317414,2015-04-01,08:15:22,1号线中山北路,地铁,0.00,非优惠
2803317414,2015-04-01,08:51:39,2号线陆家嘴,地铁,4.00,非优惠
2803317414,2015-04-01,18:32:10,1号线中山北路,地铁,4.00,非优惠
2803317414,2015-04-01,18:02:24,2号线陆家嘴,地铁,0.00,非优惠
3101728855,2015-04-01,08:32:11,2号线张江高科,地铁,5.00,非优惠
3101728855,2015-04-01,18:26:58,2号线北新泾,地铁,5.00,非优惠
3101728855,2015-04-01,07:38:28,2号线淞虹路,地铁,0.00,非优惠
3101728855,2015-04-01,17:38:52,2号线张江高科,地铁,0.00,非优惠
2901902611,2015-04-01,08:13:35,4号线临平路,地铁,0.00,非优惠
2901902611,2015-04-01,17:29:12,1号线徐家汇,地铁,3.00,非优惠
2901902611,2015-04-01,21:38:42,1号线徐家汇,地铁,0.00,非优惠
2901902611,2015-04-01,17:12:03,11号线江苏路,地铁,0.00,非优惠
2901902611,2015-04-01,08:46:32,3号线中山公园,地铁,4.00,非优惠
2901902611,2015-04-01,22:17:44,4号线临平路,地铁,4.00,非优惠
2803666587,2015-04-01,08:19:30,12号线巨峰路,地铁,0.00,非优惠
2803666587,2015-04-01,08:54:47,10号线四川北路,地铁,4.00,非优惠
3003322964,2015-04-01,20:55:52,4号线世纪大道,地铁,4.00,非优惠
3003322964,2015-04-01,17:26:06,4号线上海体育馆,地铁,4.00,非优惠
3003322964,2015-04-01,07:57:57,4号线杨树浦路,地铁,3.00,非优惠
3003322964,2015-04-01,07:46:51,4号线世纪大道,地铁,0.00,非优惠
3003322964,2015-04-01,20:27:59,4号线上海体育馆,地铁,0.00,非优惠
3003322964,2015-04-01,16:47:56,4号线杨树浦路,地铁,0.00,非优惠
2003085897,2015-04-01,13:16:30,8号线杨思,地铁,0.00,非优惠
2003085897,2015-04-01,14:28:20,8号线人民广场,地铁,0.00,非优惠
2003085897,2015-04-01,14:52:56,8号线杨思,地铁,4.00,非优惠
2003085897,2015-04-01,13:39:25,8号线人民广场,地铁,4.00,非优惠
2800023256,2015-04-01,07:52:44,2号线华夏东路,地铁,0.00,非优惠
2800023256,2015-04-01,08:39:24,4号线浦电路,地铁,4.00,优惠
2702018777,2015-04-01,19:31:03,9号线漕河泾开发区,地铁,0.00,非优惠
2702018777,2015-04-01,09:20:30,9号线漕河泾开发区,地铁,4.00,非优惠
2702018777,2015-04-01,20:05:26,13号线金沙江路,地铁,4.00,非优惠
2702018777,2015-04-01,08:53:13,3号线金沙江路,地铁,0.00,非优惠
2602505739,2015-04-01,21:19:40,1号线彭浦新村,地铁,4.00,非优惠
2602505739,2015-04-01,07:23:56,1号线彭浦新村,地铁,0.00,非优惠
2602505739,2015-04-01,07:58:04,1号线徐家汇,地铁,3.00,优惠
2602505739,2015-04-01,20:47:54,1号线徐家汇,地铁,0.00,非优惠
2002182104,2015-04-01,21:02:34,2号线静安寺,地铁,0.00,非优惠
2002182104,2015-04-01,17:49:14,2号线南京西路,地铁,4.00,非优惠
2002182104,2015-04-01,21:35:31,4号线临平路,地铁,4.00,非优惠
2002182104,2015-04-01,17:22:09,6号线源深体育中心,地铁,0.00,非优惠
2500730257,2015-04-01,08:35:48,8号线人民广场,地铁,3.00,优惠
2500730257,2015-04-01,16:35:05,9号线星中路,地铁,4.00,非优惠
2500730257,2015-04-01,15:58:45,8号线大世界,地铁,0.00,非优惠
2500730257,2015-04-01,08:08:11,1号线上海南站,地铁,0.00,非优惠
100661308,2015-04-01,22:42:01,8号线老西门,地铁,0.00,非优惠
100661308,2015-04-01,13:52:47,13号线金运路,地铁,0.00,非优惠
100661308,2015-04-01,15:02:15,8号线老西门,地铁,5.00,非优惠
2802921318,2015-04-01,21:05:35,16号线惠南,地铁,7.00,非优惠
2802921318,2015-04-01,20:13:13,9号线商城路,地铁,0.00,非优惠
2802921318,2015-04-01,08:05:50,16号线惠南东,地铁,0.00,非优惠
2802921318,2015-04-01,09:09:31,9号线商城路,地铁,6.00,优惠
