ST_NO,ST_NAME,ST_NAME_EN,LINE_NO,X,Y,TRANSFER_TAG,SERIAL_NO,ST_HORIZONTAL
0834,大世界,Dashijie,8,554,565,普通站,15,地下
0835,人民广场,PeopleSquare,8,543,546,换乘站,16,地下
0836,曲阜路,QufuRoad,8,596,497,换乘站,17,地下
0837,中兴路,ZhongxingRoad,8,551,419,普通站,18,地下
0838,西藏北路,NorthXizangRoad,8,594,397,普通站,19,地下
0839,虹口足球场,HongkouFootballStadium,8,571,372,换乘站,20,地下
0840,曲阳路,QuyangRoad,8,663,344,普通站,21,地下
0841,四平路,SipingRoad,8,711,397,换乘站,22,地下
0842,鞍山新村,AnshanXincun,8,749,398,普通站,23,地下
0843,江浦路,JiangpuRoad,8,804,389,普通站,24,地下
0844,黄兴路,HuangxingRoad,8,830,354,普通站,25,地下
0845,延吉中路,MiddleYanjiRoad,8,827,313,普通站,26,地下
0846,黄兴公园,HuangxingPark,8,827,288,普通站,27,地下
0847,翔殷路,XiangyinRoad,8,828,257,普通站,28,地下
0848,嫩江路,NenjiangRoad,8,827,231,普通站,29,地下
0849,市光路,ShiguangRoad,8,825,204,普通站,30,地下
0918,松江南站,SongjiangSouthRailwayStation,9,94,883,普通站,1,地下
0919,醉白池,ZuibaichiPark,9,92,851,普通站,2,地下
0920,松江体育中心,SongjiangSportsCenter,9,90,815,普通站,3,地下
0921,松江新城,SongjiangXincheng,9,90,783,普通站,4,地下
0922,松江大学城,SongjiangUniversityTown,9,89,750,普通站,5,高架
0923,洞泾,Dongjing,9,88,721,普通站,6,高架
0924,佘山,Sheshan,9,88,688,普通站,7,高架
0925,泗泾,Sijing,9,92,632,普通站,8,高架
0926,九亭,Jiuting,9,126,673,普通站,9,地下
0927,中春路,ZhongchunRoad,9,155,673,普通站,10,地下
0928,七宝,Qibao,9,182,672,普通站,11,地下
0929,星中路,XingzhongRoad,9,212,673,普通站,12,地下
0930,合川路,HechuanRoad,9,246,672,普通站,13,地下
0931,漕河泾开发区,CaohejingHi-TeachPark,9,272,672,普通站,14,地下
0932,桂林路,GuilinRoad,9,302,671,普通站,15,地下
0933,宜山路,YishanRoad,9,348,632,换乘站,16,地下
0934,徐家汇,Xujiahui,9,393,654,换乘站,17,地下
0935,肇嘉浜路,ZhaojiabangRoad,9,457,654,换乘站,18,地下
0936,嘉善路,JiashanRoad,9,454,631,普通站,19,地下
0937,打浦桥,Dapuqiao,9,502,635,普通站,20,地下
0938,马当路,MadangRoad,9,513,654,普通站,21,地下
0939,陆家浜路,LujiabangRoad,9,549,631,换乘站,22,地下
0940,小南门,Xiaonanmen,9,609,604,普通站,23,地下
0941,商城路,ShangchengRoad,9,651,608,普通站,24,地下
0942,世纪大道,CenturyAvenue,9,692,569,换乘站,25,地下
0943,杨高中路,MiddleYanggaoRoad,9,748,615,普通站,26,地下
1018,航中路,HangzhongRoad,10,154,602,普通站,1,地下
1019,紫藤路,ZitengRoad,10,178,601,普通站,2,地下
1020,龙柏新村,LongBaiXincun,10,206,598,普通站,3,地下
1041,虹桥火车站,HongqiaoRailwayStation,10,171,457,普通站,4,地下
1042,虹桥2号航站楼,HongqiaoAirportTerminal2,10,191,439,换乘站,5,地下
1043,虹桥1号航站楼,HongqiaoAirportTerminal1,10,220,541,普通站,6,地下
1044,上海动物园,ShanghaiZoo,10,234,561,普通站,7,地下
1045,龙溪路,LongxiRoad,10,231,601,普通站,8,地下
1046,水城路,ShuichengRoad,10,253,602,普通站,9,地下
1047,伊犁路,YiliRoad,10,276,599,普通站,10,地下
1048,宋园路,SongyuanRoad,10,301,599,普通站,11,地下
1049,虹桥路,HongqiaoRoad,10,325,582,换乘站,12,地下
1050,交通大学,Jiaotonguniversity,10,379,577,换乘站,13,地下
1051,上海图书馆,ShanghaiLibrary,10,390,597,普通站,14,地下
1052,陕西南路,SouthShanxiRoad,10,460,572,普通站,15,地下
1053,新天地,Xintiandi,10,510,601,普通站,16,地下
1054,老西门,Laoximen,10,551,596,换乘站,17,地下
1055,豫园,YuyuanGarden,10,617,603,普通站,18,地下
1056,南京东路,EastNanjingRoad,10,617,563,换乘站,19,地下
1057,天潼路,TiantongRoad,10,599,498,换乘站,20,地下
1058,四川北路,NorthSichuanRoad,10,623,467,普通站,21,地下
1059,海伦路,HaiLunRoad,10,635,451,换乘站,22,地下
1060,邮电新村,YoudianXincun,10,712,411,普通站,23,地下
1061,四平路,SipingRoad,10,711,397,换乘站,24,地下
1062,同济大学,TongjiUniversity,10,718,359,普通站,25,地下
1063,国权路,GuoquanRoad,10,738,326,普通站,26,地下
1064,五角场,Wujiaochang,10,737,292,普通站,27,地下
1065,江湾体育场,JiangwanStadium,10,737,261,普通站,28,地下
1066,三门路,SanmenRoad,10,737,239,普通站,29,地下
1067,殷高东路,EastYingaoRoad,10,737,210,普通站,30,地下
1068,新江湾城,Xinjiangwancheng,10,738,184,普通站,31,地下
1114,花桥,Huaqiao,11,35,260,普通站,14,高架
1115,光明路,GuangmingRoad,11,62,260,普通站,15,高架
1116,兆丰路,ZhaofengRoad,11,90,260,普通站,16,高架
1117,安亭,Anting,11,120,260,普通站,1,高架
1118,上海汽车城,ShanghaiAutomobileCity,11,144,259,普通站,2,高架
1119,昌吉东路,EastChangjiRoad,11,150,185,普通站,3,地面
1120,上海赛车场,ShanghaiCircuit,11,170,158,普通站,4,地下
1131,嘉定北,NorthJiading,11,208,101,普通站,5,高架
1132,嘉定西,WestJiading,11,210,146,普通站,6,高架
1133,白银路,BaiyinRoad,11,210,179,普通站,7,高架
1134,嘉定新城,JiadingXincheng,11,212,208,普通站,8,高架
1135,马陆,Malu,11,200,226,普通站,9,高架
1137,南翔,Nanxiang,11,225,249,普通站,10,高架
1138,桃浦新村,TaopuXincun,11,229,274,普通站,11,地下
1139,武威路,WuweiRoad,11,264,299,普通站,12,地下
1140,祁连山路,QilianshanRoad,11,275,319,普通站,13,地下
1141,李子园,Liziyuan,11,304,341,普通站,14,地下
1142,上海西站,WestShanghaiRailwayStation,11,318,365,普通站,15,地下
1143,真如,Zhenru,11,357,386,普通站,16,地下
1144,枫桥路,FengqiaoRoad,11,350,410,普通站,17,地下
1145,曹杨路,CaoyangRoad,11,397,450,换乘站,18,地下
1146,隆德路,LongdeRoad,11,399,480,普通站,19,地下
1147,江苏路,JiangsuRoad,11,396,507,换乘站,20,地下
1148,交通大学,JiaoTongUniversity,11,379,577,换乘站,21,地下
1149,徐家汇,Xujiahui,11,393,654,换乘站,22,地下
1150,上海游泳馆,ShanghaiSwimmingCenter,11,395,684,普通站,23,地下
1151,龙华,Longhua,11,398,727,普通站,24,地下
1152,云锦路,YunjinRoad,11,399,762,普通站,25,地下
1153,龙耀路,LongyaoRoad,11,395,794,普通站,26,地下
1154,东方体育中心,OrientalSportsCenter,11,359,838,换乘站,27,地下
1155,三林,Sanlin,11,455,879,普通站,28,地下
1156,三林东,EastSanlin,11,522,878,普通站,29,地下
1157,浦三路,PusanRoad,11,590,878,普通站,30,地下
1158,严御路,YanyuRoad,11,663,881,普通站,58,地下
1159,御桥,Yuqiao,11,728,879,普通站,32,地下
1160,罗山路,LuoshanRoad,11,809,876,换乘站,33,高架
1236,曲阜路,QufuRoad,12,596,497,换乘站,1,地下
1237,天潼路,TiantongRoad,12,599,498,换乘站,2,地下
1238,国际客运中心,InternationalCruiseTerminal,12,649,500,普通站,3,地下
1239,提篮桥,TilanQiao,12,669,506,普通站,4,地下
1240,大连路,DalianRoad,12,698,501,换乘站,5,地下
1241,江浦公园,JiangpuPark,12,722,501,普通站,6,地下
1242,宁国路,NingguoRoad,12,744,501,普通站,7,地下
1243,隆昌路,LongchangRoad,12,767,501,普通站,8,地下
1244,爱国路,AiguoRoad,12,794,501,普通站,9,地下
1245,复兴岛,FuxingIsland,12,827,501,普通站,10,地下
1246,东陆路,DongluRoad,12,853,501,普通站,11,地下
1247,巨峰路,JufengRoad,12,888,501,换乘站,12,地下
1248,杨高北路,NorthYanggaoRoad,12,935,501,普通站,13,地下
1249,金京路,JinjingRoad,12,961,501,普通站,14,地下
1250,申江路,ShenjiangRoad,12,991,501,普通站,15,地下
1251,金海路,JinhaiRoad,12,1023,505,普通站,16,地下
1321,金运路,JinyunRoad,13,224,371,普通站,1,地下
1322,金沙江西路,WestJinshajiangRoad,13,249,350,普通站,2,地下
1323,丰庄,Fengzhuang,13,272,380,普通站,3,地下
1324,祁连山南路,SouthQilianshanRoad,13,297,350,普通站,4,地下
1325,真北路,ZhengbeiRoad,13,309,434,普通站,5,地下
1326,大渡河路,DaduheRoad,13,330,453,普通站,6,地下
1327,金沙江路,JinshajiangRoad,13,343,455,换乘站,7,地下
1328,隆德路,LongdeRoad,13,,,换乘站,8,地下
1329,武宁路,WuningRoad,13,,,普通站,9,地下
1330,长寿路,ChangshouRoad,13,,,换乘站,10,地下
1621,龙阳路,LongyangRoad,16,,,换乘站,1,高架
1622,华夏中路,MiddleHuaxiaRoad,16,,,普通站,2,高架
1623,罗山路,LuoshanRoad,16,808,876,换乘站,3,高架
1624,周浦东,EastZhoupu,16,810,909,普通站,4,高架
1625,鹤沙航城,Heshahangcheng,16,809,935,普通站,5,高架
1626,航头东,EastHangtou,16,797,965,普通站,6,高架
1627,新场,Xinchang,16,835,965,普通站,7,高架
1628,野生动物园,WildAnimalPark,16,870,965,普通站,8,高架
1629,惠南,Huinan,16,915,923,普通站,9,地下
1630,惠南东,EastHuinan,16,957,976,普通站,10,高架
1631,书院,Shuyuan,16,976,999,普通站,11,高架
1632,临港大道,LingangAvenue,16,997,1022,普通站,12,地下
1633,滴水湖,Dishuilake,16,1020,1048,普通站,13,地下
