INPUTDATE,"LINE_NO","TRAINDIAGRAMID"
20150510,"10","2015_4_2_10_28_24"
20150510,"11","2014_10_30_17_3_36"
20150510,"12","2014_10_30_20_0_19"
20150510,"13","2014_12_31_18_54_08"
20150510,"16","2015_4_8_10_55_56"
20150509,"01","2014_10_30_11_40_25"
20150509,"02","2014_10_30_15_6_25"
20150614,"13","2014_12_31_18_54_08"
20150614,"16","2015_5_27_15_36_70"
20150619,"01","2014_10_30_11_43_26"
20150619,"02","2014_10_30_15_9_26"
20150619,"03/04","2014_12_31_11_20_30"
20150619,"05","2014_10_30_15_49_09"
20150619,"06","2014_10_30_15_53_39"
20150619,"07","2014_10_30_16_4_28"
20150619,"08","2014_10_30_16_13_21"
20150619,"09","2014_10_30_16_31_38"
20150619,"10","2015_4_2_10_29_29"
20150511,"01","2014_10_30_11_38_24"
20150511,"02","2014_11_28_18_44_23"
20150511,"03/04","2014_12_31_11_20_30"
20150511,"05","2014_10_30_15_49_09"
20150511,"06","2014_10_30_15_53_39"
20150511,"07","2014_10_30_16_4_28"
20150511,"08","2014_10_30_16_13_21"
20150511,"09","2014_10_30_16_31_38"
20150511,"10","2015_4_2_10_29_29"
20150410,"11","2015_4_2_10_31_39"
20150410,"12","2014_10_30_20_1_20"
20150410,"13","2014_12_31_18_53_07"
20150410,"16","2015_4_8_10_56_60"
20150511,"11","2015_4_2_10_31_39"
20150511,"12","2014_10_30_20_1_20"
20150511,"13","2014_12_31_18_53_07"
20150511,"16","2015_4_8_10_56_60"
20150512,"01","2014_10_30_11_38_24"
20150512,"02","2014_11_28_18_44_23"
20150512,"03/04","2014_12_31_11_20_30"
20150512,"05","2014_10_30_15_49_09"
20150512,"06","2014_10_30_15_53_39"
20150512,"07","2014_10_30_16_4_28"
20150512,"08","2014_10_30_16_13_21"
20150512,"09","2014_10_30_16_31_38"
20150512,"10","2015_4_2_10_29_29"
20150512,"11","2015_4_2_10_31_39"
20150512,"12","2014_10_30_20_1_20"
20150512,"13","2014_12_31_18_53_07"
20150512,"16","2015_4_8_10_56_60"
20150513,"01","2014_10_30_11_38_24"
20150513,"02","2014_11_28_18_44_23"
20150410,"06","2014_10_30_15_53_39"
20150513,"03/04","2014_12_31_11_20_30"
20150513,"05","2014_10_30_15_49_09"
20150513,"06","2014_10_30_15_53_39"
20150513,"07","2014_10_30_16_4_28"
20150513,"08","2014_10_30_16_13_21"
20150513,"09","2014_10_30_16_31_38"
20150513,"10","2015_4_2_10_29_29"
20150513,"11","2015_4_2_10_31_39"
20150513,"12","2014_10_30_20_1_20"
20150513,"13","2014_12_31_18_53_07"
20150513,"16","2015_4_8_10_56_60"
20150413,"01","2014_10_30_11_38_24"
20150413,"02","2014_11_28_18_44_23"
20150413,"03/04","2014_12_31_11_20_30"
20150413,"05","2014_10_30_15_49_09"
20150413,"06","2014_10_30_15_53_39"
20150413,"07","2014_10_30_16_4_28"
20150413,"08","2014_10_30_16_13_21"
20150413,"09","2014_10_30_16_31_38"
20150413,"10","2015_4_2_10_29_29"
20150413,"11","2015_4_2_10_31_39"
20150413,"12","2014_10_30_20_1_20"
20150413,"13","2014_12_31_18_53_07"
20150413,"16","2015_4_8_10_56_60"
20150514,"01","2014_10_30_11_38_24"
20150514,"02","2014_11_28_18_44_23"
20150514,"03/04","2014_12_31_11_20_30"
20150514,"05","2014_10_30_15_49_09"
20150514,"06","2014_10_30_15_53_39"
20150514,"07","2014_10_30_16_4_28"
20150514,"08","2014_10_30_16_13_21"
20150514,"09","2014_10_30_16_31_38"
20150514,"10","2015_4_2_10_29_29"
20150514,"11","2015_4_2_10_31_39"
20150514,"12","2014_10_30_20_1_20"
20150514,"13","2014_12_31_18_53_07"
20150514,"16","2015_4_8_10_56_60"
20150619,"11","2015_4_2_10_31_39"
20150619,"12","2014_10_30_20_1_20"
20150619,"13","2014_12_31_18_53_07"
20150619,"16","2015_4_8_10_56_60"
20150620,"01","2014_10_30_11_40_25"
20150620,"02","2014_10_30_15_6_25"
20150620,"03/04","2014_12_31_18_25_05"
20150620,"05","2014_10_30_15_51_10"
20150620,"06","2014_10_30_15_56_40"
20150620,"07","2014_10_30_16_7_31"
20150620,"08","2014_10_30_16_16_22"
20150620,"09","2014_10_30_16_34_39"
20150620,"10","2015_4_2_10_28_24"
20150620,"11","2014_10_30_17_3_36"
20150620,"12","2014_10_30_20_0_19"
20150620,"13","2014_12_31_18_54_08"
20150620,"16","2015_5_27_15_36_70"
20150621,"03/04","2014_12_31_18_25_05"
20150621,"05","2014_10_30_15_51_10"
20150621,"06","2014_10_30_15_56_40"
20150621,"07","2014_10_30_16_7_31"
20150621,"08","2014_10_30_16_16_22"
20150621,"09","2014_10_30_16_34_39"
20150621,"10","2015_4_2_10_28_24"
20150621,"11","2014_10_30_17_3_36"
20150621,"12","2014_10_30_20_0_19"
20150621,"13","2014_12_31_18_54_08"
20150621,"16","2015_5_27_15_36_70"
20150622,"01","2014_10_30_11_40_25"
20150622,"02","2014_10_30_15_6_25"
20150621,"01","2014_10_30_11_40_25"
20150621,"02","2014_10_30_15_6_25"
20150622,"03/04","2014_12_31_18_25_05"
20150622,"05","2014_10_30_15_51_10"
20150622,"06","2014_10_30_15_56_40"
20150622,"07","2014_10_30_16_7_31"
20150622,"08","2014_10_30_16_16_22"
20150622,"09","2014_10_30_16_34_39"
20150622,"10","2015_4_2_10_28_24"
20150518,"01","2014_10_30_11_38_24"
20150518,"02","2014_11_28_18_44_23"
20150518,"03/04","2014_12_31_11_20_30"
20150518,"05","2014_10_30_15_49_09"
20150518,"06","2014_10_30_15_53_39"
20150518,"07","2014_10_30_16_4_28"
20150518,"08","2014_10_30_16_13_21"
20150518,"09","2014_10_30_16_31_38"
20150518,"10","2015_4_2_10_29_29"
20150313,"02","2014_10_30_15_9_26"
20150313,"03/04","2014_12_31_11_20_30"
20150313,"05","2014_10_30_15_49_09"
20150313,"06","2014_10_30_15_53_39"
20150313,"07","2014_10_30_16_4_28"
20150313,"08","2014_10_30_16_13_21"
20150313,"09","2014_10_30_16_31_38"
20150313,"10","2015_2_3_9_26_23"
20150313,"11","2014_10_30_16_58_33"
20150313,"12","2014_10_30_20_1_20"
20150313,"13","2014_12_31_18_53_07"
20150313,"16","2015_2_17_14_41_51"
20150622,"11","2014_10_30_17_3_36"
20150116,"01","2014_10_30_11_43_26"
20150518,"11","2015_4_2_10_31_39"
20150622,"12","2014_10_30_20_0_19"
20150622,"13","2014_12_31_18_54_08"
20150622,"16","2015_5_27_15_36_70"
20150729,"05","2014_10_30_15_49_09"
20150729,"06","2014_10_30_15_53_39"
20150729,"07","2014_10_30_16_4_28"
20150729,"08","2015_6_29_8_33_27"
20150729,"09","2014_10_30_16_31_38"
20150729,"10","2015_4_2_10_29_29"
20150729,"11","2015_4_2_10_31_39"
20150729,"12","2014_10_30_20_1_20"
20150729,"13","2014_12_31_18_53_07"
20150729,"16","2015_4_8_10_56_60"
20150703,"01","2014_10_30_11_43_26"
20150703,"02","2014_10_30_15_9_26"
20150703,"03/04","2014_12_31_11_20_30"
20150703,"05","2014_10_30_15_49_09"
20150703,"06","2014_10_30_15_53_39"
20150703,"07","2014_10_30_16_4_28"
20150703,"08","2015_6_29_8_33_27"
20150703,"09","2014_10_30_16_31_38"
20150703,"10","2015_4_2_10_29_29"
20150703,"11","2015_4_2_10_31_39"
20150703,"12","2014_10_30_20_1_20"
20150703,"13","2014_12_31_18_53_07"
20150703,"16","2015_4_8_10_56_60"
20150704,"03/04","2014_12_31_18_25_05"
20150704,"05","2014_10_30_15_51_10"
20150704,"06","2014_10_30_15_56_40"
20150704,"07","2014_10_30_16_7_31"
20150704,"08","2015_6_29_8_35_28"
20150704,"09","2014_10_30_16_34_39"
20150704,"10","2015_4_2_10_28_24"
20150704,"11","2014_10_30_17_3_36"
20150704,"12","2014_10_30_20_0_19"
20150704,"13","2014_12_31_18_54_08"
20150704,"16","2015_5_27_15_36_70"
20150705,"01","2014_10_30_11_40_25"
20150705,"02","2014_10_30_15_6_25"
20150304,"11","2014_10_30_16_58_33"
20150304,"12","2014_10_30_20_1_20"
20150304,"13","2014_12_31_18_53_07"
20150304,"16","2015_2_17_14_41_51"
20150305,"01","2014_10_30_11_38_24"
20150305,"02","2014_11_28_18_44_23"
20150305,"03/04","2014_12_31_11_20_30"
20150305,"05","2014_10_30_15_49_09"
20150305,"06","2014_10_30_15_53_39"
20150305,"07","2014_10_30_16_4_28"
20150305,"08","2014_10_30_16_13_21"
20150305,"09","2014_10_30_16_31_38"
20150305,"10","2015_2_3_9_26_23"
20150305,"11","2014_10_30_16_58_33"
20150305,"12","2014_10_30_20_1_20"
20150305,"13","2014_12_31_18_53_07"
20150305,"16","2015_2_17_14_41_51"
20150704,"01","2014_10_30_11_40_25"
20150704,"02","2014_10_30_15_6_25"
20150705,"03/04","2014_12_31_18_25_05"
20150705,"05","2014_10_30_15_51_10"
20150705,"06","2014_10_30_15_56_40"
20150705,"07","2014_10_30_16_7_31"
20150705,"08","2015_6_29_8_35_28"
20150705,"09","2014_10_30_16_34_39"
20150705,"10","2015_4_2_10_28_24"
20150705,"11","2014_10_30_17_3_36"
20150705,"12","2014_10_30_20_0_19"
20150705,"13","2014_12_31_18_54_08"
20150705,"16","2015_5_27_15_36_70"
20150710,"01","2014_10_30_11_43_26"
20150710,"02","2014_10_30_15_9_26"
20150710,"03/04","2014_12_31_11_20_30"
20150710,"05","2014_10_30_15_49_09"
20150710,"06","2014_10_30_15_53_39"
20150710,"07","2014_10_30_16_4_28"
20150710,"08","2015_6_29_8_33_27"
20150710,"09","2014_10_30_16_31_38"
20150710,"10","2015_4_2_10_29_29"
20150710,"11","2015_4_2_10_31_39"
20150710,"12","2014_10_30_20_1_20"
20150710,"13","2014_12_31_18_53_07"
20150710,"16","2015_4_8_10_56_60"
20150711,"01","2014_10_30_11_40_25"
20150711,"02","2014_10_30_15_6_25"
20150711,"03/04","2014_12_31_18_25_05"
20150711,"05","2014_10_30_15_51_10"
20150711,"06","2014_10_30_15_56_40"
20150711,"07","2014_10_30_16_7_31"
20150711,"08","2015_6_29_8_35_28"
20150711,"09","2014_10_30_16_34_39"
20150116,"02","2014_10_30_15_9_26"
20150116,"03/04","2014_12_31_11_20_30"
20150116,"05","2014_10_30_15_49_09"
20150116,"06","2014_10_30_15_53_39"
20150116,"07","2014_10_30_16_4_28"
20150116,"08","2014_10_30_16_13_21"
20150116,"09","2014_10_30_16_31_38"
20150116,"10","2014_10_30_16_47_21"
20150116,"11","2014_10_30_16_58_33"
20150116,"12","2014_10_30_20_1_20"
20150116,"13","2014_12_31_18_53_07"
20150116,"16","2014_12_31_18_56_42"
20150711,"10","2015_4_2_10_28_24"
20150711,"11","2014_10_30_17_3_36"
20150711,"12","2014_10_30_20_0_19"
20150711,"13","2014_12_31_18_54_08"
20150711,"16","2015_5_27_15_36_70"
20150712,"01","2014_10_30_11_40_25"
20150712,"02","2014_10_30_15_6_25"
20150712,"03/04","2014_12_31_18_25_05"
20150712,"05","2014_10_30_15_51_10"
20150712,"06","2014_10_30_15_56_40"
20150712,"07","2014_10_30_16_7_31"
20150712,"08","2015_6_29_8_35_28"
20150712,"09","2014_10_30_16_34_39"
20150712,"10","2015_4_2_10_28_24"
20150712,"11","2014_10_30_17_3_36"
20150712,"12","2014_10_30_20_0_19"
20150712,"13","2014_12_31_18_54_08"
20150712,"16","2015_5_27_15_36_70"
20150717,"01","2014_10_30_11_43_26"
20150717,"02","2014_10_30_15_9_26"
20150717,"03/04","2014_12_31_11_20_30"
20150717,"05","2014_10_30_15_49_09"
20150717,"06","2014_10_30_15_53_39"
20150717,"07","2014_10_30_16_4_28"
20150717,"08","2015_6_29_8_33_27"
20150717,"09","2014_10_30_16_31_38"
20150115,"01","2014_10_30_11_38_24"
20150115,"02","2014_11_28_18_44_23"
20150115,"03/04","2014_12_31_11_20_30"
20150115,"05","2014_10_30_15_49_09"
20150115,"06","2014_10_30_15_53_39"
20150115,"07","2014_10_30_16_4_28"
20150115,"08","2014_10_30_16_13_21"
20150717,"10","2015_4_2_10_29_29"
20150717,"11","2015_4_2_10_31_39"
20150115,"09","2014_10_30_16_31_38"
20150115,"10","2014_10_30_16_47_21"
20150717,"12","2014_10_30_20_1_20"
20150717,"13","2014_12_31_18_53_07"
20150717,"16","2015_4_8_10_56_60"
20150718,"01","2014_10_30_11_40_25"
20150718,"02","2014_10_30_15_6_25"
20150718,"03/04","2014_12_31_18_25_05"
20150718,"05","2014_10_30_15_51_10"
20150718,"06","2014_10_30_15_56_40"
20150718,"07","2014_10_30_16_7_31"
20150718,"08","2015_6_29_8_35_28"
20150718,"09","2014_10_30_16_34_39"
20150718,"10","2015_4_2_10_28_24"
20150718,"11","2014_10_30_17_3_36"
20150115,"11","2014_10_30_16_58_33"
20150115,"12","2014_10_30_20_1_20"
20150115,"13","2014_12_31_18_53_07"
20150115,"16","2014_12_31_18_56_42"
20150718,"12","2014_10_30_20_0_19"
20150718,"13","2014_12_31_18_54_08"
20150718,"16","2015_5_27_15_36_70"
20150719,"01","2014_10_30_11_40_25"
20150719,"02","2014_10_30_15_6_25"
20150719,"03/04","2014_12_31_18_25_05"
20150719,"05","2014_10_30_15_51_10"
20150719,"06","2014_10_30_15_56_40"
20150719,"07","2014_10_30_16_7_31"
20150719,"08","2015_6_29_8_35_28"
20150114,"01","2014_10_30_11_38_24"
20150114,"02","2014_11_28_18_44_23"
20150114,"03/04","2014_12_31_11_20_30"
20150719,"09","2014_10_30_16_34_39"
20141219,"01","2014_10_30_11_38_24"
20141219,"02","2014_11_28_18_44_23"
20141219,"03/04","2014_12_31_11_48_05"
20141219,"05","2014_10_30_15_49_09"
20141219,"06","2014_10_30_15_53_39"
20141219,"07","2014_10_30_16_4_28"
20141219,"08","2014_10_30_16_13_21"
20141219,"09","2014_10_30_16_31_38"
20141219,"10","2014_10_30_16_47_21"
20141219,"11","2014_10_30_16_58_33"
20141219,"12","2014_10_30_20_1_20"
20141219,"13","2014_12_31_18_53_07"
20141219,"16","2014_12_31_18_56_42"
20141220,"01","2014_10_30_11_38_24"
20141220,"02","2014_11_28_18_44_23"
20141220,"03/04","2014_12_31_11_48_05"
20141220,"05","2014_10_30_15_49_09"
20141220,"06","2014_10_30_15_53_39"
20141220,"07","2014_10_30_16_4_28"
20141220,"08","2014_10_30_16_13_21"
20141220,"09","2014_10_30_16_31_38"
20141220,"10","2014_10_30_16_47_21"
20141220,"11","2014_10_30_16_58_33"
20141220,"12","2014_10_30_20_1_20"
20141220,"13","2014_12_31_18_53_07"
20141220,"16","2014_12_31_18_56_42"
20141221,"01","2014_10_30_11_38_24"
20141221,"02","2014_11_28_18_44_23"
20141221,"03/04","2014_12_31_11_48_05"
20141221,"05","2014_10_30_15_49_09"
20141221,"06","2014_10_30_15_53_39"
20141221,"07","2014_10_30_16_4_28"
20141221,"08","2014_10_30_16_13_21"
20141221,"09","2014_10_30_16_31_38"
20141221,"10","2014_10_30_16_47_21"
20141221,"11","2014_10_30_16_58_33"
20141221,"12","2014_10_30_20_1_20"
20141221,"13","2014_12_31_18_53_07"
20141221,"16","2014_12_31_18_56_42"
20141222,"01","2014_10_30_11_38_24"
20141222,"02","2014_11_28_18_44_23"
20141222,"03/04","2014_12_31_11_48_05"
20141222,"05","2014_10_30_15_49_09"
20141222,"06","2014_10_30_15_53_39"
20141222,"07","2014_10_30_16_4_28"
20141222,"08","2014_10_30_16_13_21"
20141222,"09","2014_10_30_16_31_38"
20141222,"10","2014_10_30_16_47_21"
20141222,"11","2014_10_30_16_58_33"
20141222,"12","2014_10_30_20_1_20"
20141222,"13","2014_12_31_18_53_07"
20141222,"16","2014_12_31_18_56_42"
20141223,"01","2014_10_30_11_38_24"
20141223,"02","2014_11_28_18_44_23"
20141223,"03/04","2014_12_31_11_48_05"
20141223,"05","2014_10_30_15_49_09"
20141223,"06","2014_10_30_15_53_39"
20141223,"07","2014_10_30_16_4_28"
20141223,"08","2014_10_30_16_13_21"
20141223,"09","2014_10_30_16_31_38"
20141223,"10","2014_10_30_16_47_21"
20141223,"11","2014_10_30_16_58_33"
20141223,"12","2014_10_30_20_1_20"
20141223,"13","2014_12_31_18_53_07"
20141223,"16","2014_12_31_18_56_42"
20141224,"01","2014_10_30_11_38_24"
20141224,"02","2014_11_28_18_44_23"
20141224,"03/04","2014_12_31_11_48_05"
20141224,"05","2014_10_30_15_49_09"
20141224,"06","2014_10_30_15_53_39"
20141224,"07","2014_10_30_16_4_28"
20141224,"08","2014_10_30_16_13_21"
20141224,"09","2014_10_30_16_31_38"
20141224,"10","2014_10_30_16_47_21"
20141224,"11","2014_10_30_16_58_33"
20141224,"12","2014_10_30_20_1_20"
20141224,"13","2014_12_31_18_53_07"
20141224,"16","2014_12_31_18_56_42"
20141225,"01","2014_10_30_11_38_24"
20141225,"02","2014_11_28_18_44_23"
20141225,"03/04","2014_12_31_11_48_05"
20141225,"05","2014_10_30_15_49_09"
20141225,"06","2014_10_30_15_53_39"
20141225,"07","2014_10_30_16_4_28"
20141225,"08","2014_10_30_16_13_21"
20141225,"09","2014_10_30_16_31_38"
20141225,"10","2014_10_30_16_47_21"
20141225,"11","2014_10_30_16_58_33"
20141225,"12","2014_10_30_20_1_20"
20141225,"13","2014_12_31_18_53_07"
20141225,"16","2014_12_31_18_56_42"
20141226,"01","2014_10_30_11_38_24"
20141226,"02","2014_11_28_18_44_23"
20141226,"03/04","2014_12_31_11_48_05"
20141226,"05","2014_10_30_15_49_09"
20141226,"06","2014_10_30_15_53_39"
20141226,"07","2014_10_30_16_4_28"
20141226,"08","2014_10_30_16_13_21"
20141226,"09","2014_10_30_16_31_38"
20141226,"10","2014_10_30_16_47_21"
20141226,"11","2014_10_30_16_58_33"
20141226,"12","2014_10_30_20_1_20"
20141226,"13","2014_12_31_18_53_07"
20141206,"01","2014_10_30_11_38_24"
20141206,"02","2014_11_28_18_44_23"
20141206,"03/04","2014_12_31_11_48_05"
20141206,"05","2014_10_30_15_49_09"
20141206,"06","2014_10_30_15_53_39"
20141206,"07","2014_10_30_16_4_28"
20141206,"08","2014_10_30_16_13_21"
20141206,"09","2014_10_30_16_31_38"
20141206,"10","2014_10_30_16_47_21"
20141206,"11","2014_10_30_16_58_33"
20141206,"12","2014_10_30_20_1_20"
20141206,"13","2014_12_31_18_53_07"
20141206,"16","2014_12_31_18_56_42"
20141207,"01","2014_10_30_11_38_24"
20141207,"02","2014_11_28_18_44_23"
20141207,"03/04","2014_12_31_11_48_05"
20141207,"05","2014_10_30_15_49_09"
20141207,"06","2014_10_30_15_53_39"
20141207,"07","2014_10_30_16_4_28"
20141207,"08","2014_10_30_16_13_21"
20141207,"09","2014_10_30_16_31_38"
20141207,"10","2014_10_30_16_47_21"
20141207,"11","2014_10_30_16_58_33"
20141207,"12","2014_10_30_20_1_20"
20141207,"13","2014_12_31_18_53_07"
20141207,"16","2014_12_31_18_56_42"
20141208,"01","2014_10_30_11_38_24"
20141208,"02","2014_11_28_18_44_23"
20141208,"03/04","2014_12_31_11_48_05"
20141208,"05","2014_10_30_15_49_09"
20141208,"06","2014_10_30_15_53_39"
20141208,"07","2014_10_30_16_4_28"
20141208,"08","2014_10_30_16_13_21"
20141208,"09","2014_10_30_16_31_38"
20141208,"10","2014_10_30_16_47_21"
20141208,"11","2014_10_30_16_58_33"
20141208,"12","2014_10_30_20_1_20"
20141208,"13","2014_12_31_18_53_07"
20141208,"16","2014_12_31_18_56_42"
20141209,"01","2014_10_30_11_38_24"
20141209,"02","2014_11_28_18_44_23"
20141209,"03/04","2014_12_31_11_48_05"
20141209,"05","2014_10_30_15_49_09"
20141209,"06","2014_10_30_15_53_39"
20141209,"07","2014_10_30_16_4_28"
20141209,"08","2014_10_30_16_13_21"
20141209,"09","2014_10_30_16_31_38"
20141209,"10","2014_10_30_16_47_21"
20141209,"11","2014_10_30_16_58_33"
20141209,"12","2014_10_30_20_1_20"
20141209,"13","2014_12_31_18_53_07"
20141209,"16","2014_12_31_18_56_42"
20141210,"01","2014_10_30_11_38_24"
20141210,"02","2014_11_28_18_44_23"
20141210,"03/04","2014_12_31_11_48_05"
20141210,"05","2014_10_30_15_49_09"
20141210,"06","2014_10_30_15_53_39"
20141210,"07","2014_10_30_16_4_28"
20141210,"08","2014_10_30_16_13_21"
20141210,"09","2014_10_30_16_31_38"
20141210,"10","2014_10_30_16_47_21"
20141210,"11","2014_10_30_16_58_33"
20141210,"12","2014_10_30_20_1_20"
20141210,"13","2014_12_31_18_53_07"
20141210,"16","2014_12_31_18_56_42"
20141211,"01","2014_10_30_11_38_24"
20141211,"02","2014_11_28_18_44_23"
20141211,"03/04","2014_12_31_11_48_05"
20141211,"05","2014_10_30_15_49_09"
20141211,"06","2014_10_30_15_53_39"
20141211,"07","2014_10_30_16_4_28"
20141211,"08","2014_10_30_16_13_21"
20141211,"09","2014_10_30_16_31_38"
20141211,"10","2014_10_30_16_47_21"
20141211,"11","2014_10_30_16_58_33"
20141211,"12","2014_10_30_20_1_20"
20141211,"13","2014_12_31_18_53_07"
20141211,"16","2014_12_31_18_56_42"
20141212,"01","2014_10_30_11_38_24"
20141212,"02","2014_11_28_18_44_23"
20141212,"03/04","2014_12_31_11_48_05"
20141212,"05","2014_10_30_15_49_09"
20141212,"06","2014_10_30_15_53_39"
20141212,"07","2014_10_30_16_4_28"
20141212,"08","2014_10_30_16_13_21"
20141212,"09","2014_10_30_16_31_38"
20141212,"10","2014_10_30_16_47_21"
20141212,"11","2014_10_30_16_58_33"
20141212,"12","2014_10_30_20_1_20"
20141212,"13","2014_12_31_18_53_07"
20141212,"16","2014_12_31_18_56_42"
20141213,"01","2014_10_30_11_38_24"
20141226,"16","2014_12_31_18_56_42"
20150519,"01","2014_10_30_11_38_24"
20150519,"02","2014_11_28_18_44_23"
20150519,"03/04","2014_12_31_11_20_30"
20150519,"05","2014_10_30_15_49_09"
20150519,"06","2014_10_30_15_53_39"
20150519,"07","2014_10_30_16_4_28"
20150519,"08","2014_10_30_16_13_21"
20150519,"09","2014_10_30_16_31_38"
20150519,"10","2015_4_2_10_29_29"
20150519,"11","2015_4_2_10_31_39"
20150519,"12","2014_10_30_20_1_20"
20150519,"13","2014_12_31_18_53_07"
20150519,"16","2015_4_8_10_56_60"
20150520,"01","2014_10_30_11_38_24"
20150520,"02","2014_11_28_18_44_23"
20150520,"03/04","2014_12_31_11_20_30"
20150520,"05","2014_10_30_15_49_09"
20150520,"06","2014_10_30_15_53_39"
20150520,"07","2014_10_30_16_4_28"
20150520,"08","2014_10_30_16_13_21"
20150520,"09","2014_10_30_16_31_38"
20150520,"10","2015_4_2_10_29_29"
20150520,"11","2015_4_2_10_31_39"
20150520,"12","2014_10_30_20_1_20"
20150520,"13","2014_12_31_18_53_07"
20141205,"01","2014_10_30_11_38_24"
20141205,"02","2014_11_28_18_44_23"
20141205,"03/04","2014_12_31_11_48_05"
20141205,"05","2014_10_30_15_49_09"
20141205,"06","2014_10_30_15_53_39"
20141205,"07","2014_10_30_16_4_28"
20141205,"08","2014_10_30_16_13_21"
20141205,"09","2014_10_30_16_31_38"
20141205,"10","2014_10_30_16_47_21"
20141205,"11","2014_10_30_16_58_33"
20141205,"12","2014_10_30_20_1_20"
20141205,"13","2014_12_31_18_53_07"
20141205,"16","2014_12_31_18_56_42"
20141213,"02","2014_11_28_18_44_23"
20150520,"16","2015_4_8_10_56_60"
20150119,"01","2014_10_30_11_38_24"
20150119,"02","2014_11_28_18_44_23"
20150119,"03/04","2014_12_31_11_20_30"
20150119,"05","2014_10_30_15_49_09"
20150119,"06","2014_10_30_15_53_39"
20150119,"07","2014_10_30_16_4_28"
20150119,"08","2014_10_30_16_13_21"
20150119,"09","2014_10_30_16_31_38"
20150119,"10","2014_10_30_16_47_21"
20150119,"11","2014_10_30_16_58_33"
20150119,"12","2014_10_30_20_1_20"
20150119,"13","2014_12_31_18_53_07"
20150119,"16","2014_12_31_18_56_42"
20150120,"01","2014_10_30_11_38_24"
20150120,"02","2014_11_28_18_44_23"
20150120,"03/04","2014_12_31_11_20_30"
20150120,"05","2014_10_30_15_49_09"
20150120,"06","2014_10_30_15_53_39"
20150120,"07","2014_10_30_16_4_28"
20150120,"08","2014_10_30_16_13_21"
20150120,"09","2014_10_30_16_31_38"
20150120,"10","2014_10_30_16_47_21"
20150521,"01","2014_10_30_11_38_24"
20150521,"02","2014_11_28_18_44_23"
20150521,"03/04","2014_12_31_11_20_30"
20150521,"05","2014_10_30_15_49_09"
20150521,"06","2014_10_30_15_53_39"
20150521,"07","2014_10_30_16_4_28"
20150521,"08","2014_10_30_16_13_21"
20150521,"09","2014_10_30_16_31_38"
20150521,"10","2015_4_2_10_29_29"
20150521,"11","2015_4_2_10_31_39"
20150521,"12","2014_10_30_20_1_20"
20150521,"13","2014_12_31_18_53_07"
20150521,"16","2015_4_8_10_56_60"
20150123,"01","2014_10_30_11_43_26"
20150123,"02","2014_10_30_15_9_26"
20150123,"03/04","2014_12_31_11_20_30"
20150123,"05","2014_10_30_15_49_09"
