ST_NO,"FACILITY_DESCP","TYPE","TOILET_INSIDE","FACILITY_DESCP_EN"			
0117,"1号口:裕德路,2号口:零陵路,3号口:零陵路,4号口:漕溪北路,5号口:漕溪路零陵路,6号口:漕溪北路 中南二路,7号口:漕溪北路 中山西路 ,8号口:漕溪北路 裕德路 中漕路","2","","Exit 1:Yude Rd,Exit 2:Lingling Rd ,Exit 3:Lingling Rd,Exit 4:North Caoxi Rd,Exit 5:Caoxi Rd Lingling Rd,Exit 6:North Caoxi Rd Zhongnan 2nd Rd,Exit 7:North Caoxi Rd West Zhongshan Rd ,Exit 8:North Caoxi Rd Yude Rd Zhongcao Rd"			
0117,"1号线:直升梯  站厅-站台  往莘庄方向站台车尾,1号线:斜挂式  地面-站厅  5号出入口","3","","Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the rear of the platform,Line 1:Inclined  The ground station hall  Exit 5"			
0118,"1号线:付费区  往莘庄方向站台车头,9号线:非付费区  近16号口,11号线:付费区  位于9号线客服中心对面和1号线站台","1","0,1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 9:Non-paying zone  Near Exit 16,Line 11:Pay Zone  Line 9 call center platform and across the line 1"			
0118,"1号口:漕溪北路南丹东路,2号口:漕溪北路南丹东路,3号口:漕溪北路紫阳路,4号口:漕溪北路,5号口:漕溪北路,7号口:漕溪北路蒲西路,8号口:漕溪北路,9号口:漕溪北路,10号口:漕溪北路,11号口:虹桥路,12号口:华山路虹桥路,13号口:华山路肇嘉浜路,14号口:肇嘉浜路,15号口:华山路,16号口:华山路,18号口:恭城路,19号口:恭城路,20号口:虹桥路恭城路","2","","Exit 1:North Caoxi Rd East Nandan Rd,Exit 2:North Caoxi Rd East Nandan Rd,Exit 3:North Caoxi Rd Ziyang Rd,Exit 4:North Caoxi Rd,Exit 5:North Caoxi Rd,Exit 7:North Caoxi Rd Puxi Rd,Exit 9:North Caoxi Rd,Exit 10:North Caoxi Rd,Exit 11:North Caoxi Rd Hongqiao Rd,Exit 12 Hongqiao Rd Huashan Rd,Exit 13:Huashan Rd,Exit 14:Zhaojiabang Rd,Exit 15:Huahsan Rd,Exit 16:Huashan Rd,Exit 18:Gongcheng Rd,Exit 19:Gongcheng Rd,Exit 20:Hongqiao Rd Gongcheng Rd"			
0118,"1号线:直升梯  站厅-站台  往莘庄方向站台车头,1号线:斜挂式  地面-站厅  9号出入口","3","","Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the front of the platform,Line 1:Inclined  The ground station hall  Exit 9"			
0119,"1号线:付费区  往莘庄方向站台车尾","1","1","Line 1:Pay Zone  Xinzhuang direction to the rear of the platform"			
0119,"1号口:永嘉路 衡山路,2号口:高安路 衡山路 新华通信讯社上海分社,3号口:乌鲁木齐南路,4号口:乌鲁木齐路衡山路","2","","Exit 1:Yongjia Rd Hengshan Rd,Exit 2:Gaoan Rd Hengshan Rd Xinhua News Agency Shanghai Branch,Exit 3:South Wulumuqi Rd,Exit 4:Wulumuqi Rd,Hengshan Rd"			
0119,"1号线:直升梯  站厅-站台  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the rear of the platform"			
0120,"1号线:付费区  往莘庄方向站台车头,7号线:非付费区  6号出入口旁","1","0,1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 7:Non-paying zone  Exit 6 entrance side"			
0120,"1号口:常熟路 淮海中路 华亭路,2号口:淮海中路,3号口:淮海中路 华亭路,4号口:淮海中路 宝庆路,6号口:常熟路,7号口:常熟路 淮海中路 ,8号口:常熟路 五原路 ","2","","Exit 1:Changshu Rd Middle Huaihai Rd Huating Rd,Exit 2:Middle Huaihai Rd.,Exit 3:Middle Huaihai Rd Huating Rd,Exit 4:Middle Huaihai Rd Baoqing Rd.Exit 6:Changshu Rd,Exit 7:Changshu Rd Middle Huaihai Rd ,Exit 8:Changshu Rd Wuyuan Rd "			
0120,"1号线:直升梯  站厅-站台  往莘庄方向站台车头,1号线:斜挂式  地面-站厅  4号出入口","3","","Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the front of the platform,Line 1:Inclined  The ground station hall  Exit 4"			
0121,"1号线:直升梯  站厅-站台  往莘庄方向站台车头,1号线:斜挂式  地面-站厅  1号出入口","3","","Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the front of the platform,Line 1:Inclined  The ground station hall  Exit 1"			
0121,"1号线:付费区  往莘庄方向站台车头,10号线:非付费区  近7号口","1","1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 10:Non-paying zone  Near Exit 7"			
0121,"1号口: 淮海中路 陕西南路,2号口: 陕西南路 淮海中路,3号口:淮海中路 茂名南路,4号口:茂名南路 淮海中路,5号口:陕西南路 南昌路,6号口:陕西南路,7号口:南昌路","2","","Exit 1:Middle Huaihai Rd South Shaanxi Rd,Exit 2:South Shaanxi Rd Middle Huaihai Rd,Exit 3:Middle Huaihai Rd South Maoming Rd,Exit 4:South Maoming Rd Middle Huaihai Rd,Exit 5:South Shaanxi Rd Nanchang Rd,Exit 6:South Shaanxi Rd,Exit 7:Nanchang Rd"			
0122,"1号线:付费区  往莘庄方向站台车头","1","1","Line:Pay Zone  Xinzhuang direction to the front of the platform"			
0122,"1号口:淡水路 淮海中路 中环广场,2号口:黄陂南路 淮海中路 瑞安广场 太平洋百货,3号口:金陵西路 马当路 多利川菜馆","2","","Exit 1:Danshui Rd Middle Huaihai Rd Central Plaza,Exit 2:South Huangpi Rd Middle Huaihai Rd Rui'an Square Pacific Department Store,Exit 3:West Jinling Rd Madang Rd Tony Restaurant"			
0122,"1号线:直升梯  站厅-站台  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the rear of the platform"			
0123,"1号口:人民广场,2号口:人民大道,3号口:西藏中路,5号口: 南京西路,6号口:南京西路,7号口:南京西路,8号口:南京西路,9号口:南京西路,10号口:南京西路,11号口:南京西路,12号口:九江路,14号口:汉口路,15号口:福州路,16号口:西藏中路,17号口:人民公园,18号口:人民公园,19号口:南京西路,20号口:西藏中路 九江路","2","","Exit 1:People's Square,Exit 2:Renmin Avenue,Exit 3:Middle Xizang Rd,Exit 5:West Nanjing Rd,Exit 6:West Nanjing Rd,Exit 7:West Nanjing Rd,Exit 8:West Nanjing Rd,Exit 9:West Nanjing Rd,Exit 10:West Nanjing Rd,Exit 11:West Nanjing Rd,Exit 12:Jiujiang Rd,Exit 14:Hankou Rd,Exit 15:Fuzhou Rd,Exit 16:Middle Xizang Rd,Exit 17:People's Park,Exit 18:People's Park,Exit 19:West Nanjing Rd,Exit 20:Middle Xizang Rd Jiujiang Rd"			
0123,"1号线:付费区  往莘庄方向站台车头,2号线:付费区  往广兰路方向车尾,8号线:付费区  往沈杜公路方向车头","1","1,1,1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 2:Pay Zone  Guanglan Rd direction to the rear of the platform,Line 8:Pay Zone  Shendu Highway Rd direction to the front of the platform"			
0123,"1号线:直升梯  站厅-站台  1号线车控室后通道内","3","","Line 1:Helicopter ladder  The station hall to the platform  Line 1 car control room within the channel"			
0124,"1号线:付费区  往莘庄方向站台车头","1","1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform"			
0124,"1号口:新昌路 新闸路,5号口:黄河路 新闸路,6号口:温州路 新闸路","2","","Exit 1:Xinchang Rd Xinzha Rd,Exit 5:Huanghe Rd Xinzha Rd,Exit 6:Wenzhou Rd Xinzha Rd"			
0124,"1号线:直升梯  地面-站厅  近2号出入口,1号线:直升梯  站厅-站台  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The ground station hall  Near Exit 2,Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the rear of the platform"			
0125,"","1","",""			
0125,"1号口:汉中路 民立路 恒丰路,2号口:梅园路 汉中路,3号口:梅园路 长安路,4号口:恒通路 恒丰路","2","","Exit 1:Hanzhong Rd Minli Rd Hengfeng Rd,Exit 2:Meiyuan Rd Hanzhong Rd,Exit 3:Meiyuan Rd Changan Rd,Exit 4:Hengtong Rd Hengfeng Rd"			
0125,"2号口斜挂梯（无障碍电梯） 二号口地面到站厅,直升电梯（无障碍电梯） 汉中路站厅南端连接站厅和站台","3","","Accessible Lift 2:Exit 2 to station hall,Accessible Lift South of station hall in Hanzhong Road,station hall to platform"			
0126,"1号口:铁路南广场,2号口:铁路南广场,3号口:秣陵路 民立路,4号口:秣陵路,5号口:民立路 天目西路,6号口:沈家宅 太阳山路 交通路 铁路北广场 长途客运总站","2","","Exit 1:Shanghai Railway Station South Square,Exit 2:Shanghai Railway Station South Square,Exit 3:Moling Rd Minli Rd,Exit 4:Moling Rd,Exit 5:Minli Rd West Tianmu Rd,Exit 6:The Shens' House Taiyangshan Rd Jiaotong Rd Shanghai Railway Station North Square Shanghai Long-distance Bus Passenger Transport Terminal"			
0126,"1号线:付费区  近5号出入口,3号线:付费区  往江阳北路方向站台车头,4号线:付费区  往江阳北路方向站台车","1","1","Line 1:Pay Zone  Exit 5 entrance side,Line 3:Pay Zone  North Jiangyang Rd direction to the front of the platform,Line 4:Pay Zone  North Jiangyang Rd direction to the front of the platform"			
0126,"1号线:直升梯  地面-站厅  近4号出入口,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  Near Exit 4,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0127,"1号线:站外  2号出入口站外公厕","1","0","Line 1:Outside of a station  2 entrance outside"			
0127,"1号口:中山北路 共和新路,2号口:大统路 芷江西路,4号口:大统路 中山北路","2","","Exit 1:North Zhongshan Rd Gonghexin Rd,Exit 2:Datong Rd West Zhijiang Rd,Exit 4:Datong Rd North Zhongshan Rd"			
0127,"1号线:直升梯  地面-站厅  近2号出入口,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  Near Exit 2,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd  direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0128,"1号线:站外  3号出入口站外公厕","1","0","Line 1:Outside of a station  3 entrance outside"			
0128,"2号口:延长路 广延路 闸北公园,3号口:共和新路 延长路 闸北中医医院,4号口:大宁路 上海第十人民医院","2","","Exit 2:Yanchang Rd Guangyan Rd Zhabei Park,Exit 3:Gonghexin Rd Yanchang Rd Zhabei Hospital of Traditional Chinese Medicine,Exit 4:Daning Rd The NO.10 People's Hospital of Shanghai"			
0128,"1号线:直升梯  地面-站厅  近3号出入口,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  Near Exit 3,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd  direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0129,"1号线:站外  2号出入口站外公厕","1","1","Line 1:Outside of a station  2 entrance outside"			
0129,"1号口:广中路 彭江路 沪北供电所,2号口:广中路 广延路 大宁路派出所,3号口:广中西路 大宁路 新梅共和城,4号口:广中西路 灵石路 风华初级中学","2","","Exit 1:Guangzhong Rd Pengjiang Rd Shanghai North Office of Electricity Delivery,Exit 2:Guangzhong Rd Guangyan Rd Daning Rd Police Station,Exit 3:West Guangzhong Rd Daning Rd Xinmei United City,Exit 4:West Guangzhong Rd Lingshi Rd Shanghai Fenghua Junior High School"			
0129,"1号线:直升梯  地面-站厅  近2号出入口,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  Near Exit 2,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd  direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0130,"1号线:站外  2号出入口站外公厕","1","0","Line 1:Outside of a station  2 entrance outside"			
0130,"1号口:汶水路 江场路,2号口:彭江路 汶水路 造纸机械厂,3号口:永和路 汶水路 邮政局,4号口:汶水路 江场西路 大宁社区服务站","2","","Exit 1:Wenshui Rd Jiangchang Rd,Exit 2:Pengjiang Rd Wenshui Rd Paper Machinery Factory,Exit 3:Yonghe Rd Wenshui Rd Post office,Exit 4:Wenshui Rd West Jiangchang Rd Daning Residential District Community Affairs Workstation"			
0130,"1号线:直升梯  地面-站厅  1号出入口外  4号出入口外,1号线:直升梯  站厅-站台  往富锦路方向站台车头  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The ground station hall  1 entrance outside  4 entrance outside,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd direction to the front of the platform  Xinzhuang direction to the rear of the platform"			
0131,"1号线:站外  4号出入口站外公厕","1","0","Line 1:Outside of a station  4 entrance outside"			
0131,"1号口:场中路 闻喜路,2号口:场中路 闻喜路,3号口:场中路 闻喜路,4号口:场中路 闻喜路,","2","","Exit 1:Changzhong Rd Wenxi Rd,Exit 2:Changzhong Rd Wenxi Rd,Exit 3:Changzhong Rd Wenxi Rd,Exit 4:Changzhong Rd Wenxi Rd,"			
0131,"1号线:直升梯  地面-站厅  2号出入口外  3号出入口外,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  2 entrance outside  3 entrance outside,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0132,"1号口:共康路 保德路,2号口:共康路 保德路,3号口:共康路 保德路 三泉公园,4号口:共康路 保德路","2","","Exit 1:Gongkang Rd Baode Rd,Exit 2:Gongkang Rd Baode Rd,Exit 3:Gongkang Rd Baode Rd Sanquan Park,Exit 4:Gongkang Rd Baode Rd"			
0132,"1号线:直升梯  地面-站厅  2号出入口外  3号出入口外,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  2 entrance outside  3 entrance outside,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0132,"1号线:站外  2号出入口站外公厕","1","0","Line 1:Outside of a station  2 entrance outside"			
0133,"1号口:长江西路 呼玛路,2号口:长江西路 共江路,3号口:长江西路 共江路,4号口:长江西路 呼玛路,","2","","Exit 1:West Changjiang Rd Huma Rd,Exit 2:West Changjiang Rd Gongjiang Rd,Exit 3:West Changjiang Rd Gongjiang Rd,Exit 4:West Changjiang Rd Huma Rd"			
0133,"1号线:站外  2号出入口站外公厕","1","0","Line 1:Outside of a station  2 entrance outside"			
0133,"1号线:直升梯  地面-站厅  1号出入口外  4号出入口外,1号线:直升梯  站厅-站台  往富锦路方向站台车头  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The ground station hall  1 entrance outside  4 entrance outside,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd direction to the front of the platform  Xinzhuang direction to the rear of the platform"			
0134,"1号线:站外  2号出入口站外公厕","1","0","Line 1:Outside of a station  2 entrance outside"			
0134,"1号口:共和新路呼兰路,2号口:共和新路呼兰路,3号口:共和新路近南温藻路,4号口:共和新路近呼兰西路","2","","Exit 1:Gonghexin Rd Hulan Rd,Exit 2:Gonghexin Rd Hulan Rd,Exit 3:Gonghexin Rd Nanwenzao Rd,Exit 4:Gonghexin Rd near West Hulan Rd"			
0134,"1号线:直升梯  地面-站厅  3号出入口外  2号出入口外,1号线:直升梯  站厅-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground station hall  3 entrance outside  2 entrance outside,Line 1:Helicopter ladder  The station hall to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0135,"1号口:�川路,2号口:泰和路 泰联路,3号口:共富路 泰和西路,4号口:共富路 泰和西路","2","","Exit 1:Wenchuan Rd,Exit 2:Taihe Rd Tailian Rd,Exit 3:Gongfu Rd West Taihe Rd,Exit 4:Gongfu Rd West Taihe Rd"			
0135,"1号线:站外  1号出入口站外公厕","1","0","Line 1:Pay Zone  1 entrance outside"			
0135,"1号线:直升梯  地面-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0136,"1号线:非付费区  近3号出入口","1","0","Line 1:Non-paying zone  Exit 3 entrance side"			
0136,"1号口:�川路近宝杨路,2号口:�川路近宝安公路,3号口:�川路近宝杨路,4号口:�川路近宝杨路,5号口:�川路近宝安公路","2","","Exit 1:Wenchuan Highway near Baoyang Rd,Exit 2:Wenchuan Highway near Bao'an Highway,Exit 3:Wenchuan Highway near Baoyang Rd,Exit 4:Wenchuan Highway near Baoyang Rd,Exit 5:Wenchuan Highway near Bao'an Highway"			
0136,"1号线:直升梯  地面-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0137,"1号线:付费区  北站厅车控室旁","1","1","Line 1:Pay Zone  The North Hall near the control room"			
0137,"1号口:�川公路 湄星路,2号口:�川公路","2","","Exit 1:Wenchuan Highway Meixing Rd,Exit 2:Wenchuan Highway"			
0137,"1号线:直升梯  地面-站台  往富锦路方向站台车尾  往莘庄方向站台车头","3","","Line 1:Helicopter ladder  The ground to the platform  Fujin Rd direction to the rear of the platform  Xinzhuang direction to the front of the platform"			
0138,"1号线:付费区  南站厅车控室旁","1","1","Line 1:Pay Zone  The South Hall near the control room"			
0138,"1号口:�川公路 杨北路,2号口:�川公路 杨宗路","2","","Exit 1:Wenchuan Highway Yangbei Rd,Exit 2:Wenchuan Highway Yangzong Rd"			
0138,"1号线:直升梯  地面-站台  往富锦路方向站台车头  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The ground to the platform  Fujin Rd direction to the front of the platform  Xinzhuang direction to the rear of the platform"			
0234,"2号线:非付费区  2号出入口","1","0","Line 2:Non-paying zone  Exit 2 entrance side"			
0234,"1号口:涞港路,2号口:徐民东路,3号口:徐民东路,4号口:徐民东路,15号口:盈港东路","2","","Exit 1:Laigang Rd,Exit 2:East Xumin Rd,Exit 3:East Xumin Rd,Exit 4:East Xumin Rd,Exit 5:East Yinggang Rd "			
0234,"2号线:直升梯  地面-站厅  15号口处,2号线:直升梯  站厅-站台  站厅站台中部","3","","Line 2:Helicopter ladder  The ground station hall  Exit 15,Line 2:Helicopter ladder  The station hall central platform"			
0235,"","2","",""			
0235,"2号线:付费区  往广兰路方向车头,10号线:非付费区  出站虹桥火车站站厅内","1","1,0","Line 2:Pay Zone  Guanglan Rd direction to the front of the platform,Line 10:Non-paying zone  Hongqiao railway station hall"			
0235,"2号线:直升梯  地面-站台  站厅站台中部","3","","Line 2:Helicopter ladder  The ground to the platform  The station hall central platform"			
0236,"2号线:付费区  出站后200米,10号线:非付费区  出站后左转","1","1,0","Line 2:Pay Zone  The outbound after 200 meters,Line 10:Turn left at the outbound"			
0236,"","2","",""			
0236,"2号线:直升梯  地面-站台  站厅站台中部","3","","Line 2:Helicopter ladder  The ground to the platform  The station hall central platform"			
0237,"2号线:付费区  往广兰路方向车尾","1","1","Line 2:Pay Zone  Guanglan Rd direction to the rear of the platform"			
0237,"1号口:天山西路,2号口:新渔路,3号口:新渔路,4号口:新渔路,5号口:天山西路","2","","Exit 1:West Tianshan Rd,Exit 2:Xinyu Rd,Exit 5:West Tianshan Rd"			
0237,"2号线:直升梯  地面-站台  往广兰路方向站台车尾","3","","Line 2:Helicopter ladder  The ground to the platform  Guanglan Rd direction to the rear of the platform"			
0238,"1号口:蒲松北路,2号口:天山西路,3号口:新渔路,4号口:天山西路,5号口:北渔路","2","","Exit 1:North Pusong Rd,Exit 2:West Tianshan Rd,Exit 3:Xinyu Rd,Exit 4:West Tianshan Rd,Exit 5:Beiyu Rd"			
0238,"2号线:付费区  往广兰路方向车头","1","1","Guanglan Rd direction to the front of the platform"			
0238,"2号线:直升梯  地面-站台  往广兰路方向站台车头","3","","Line 2:Helicopter ladder  The ground to the platform  Guanglan Rd direction to the front of the platform"			
0239,"2号线:付费区  往广兰路方向车头","1","1","Guanglan Rd direction to the front of the platform"			
0239,"1号口:天中路 ,2号口:天山路,3号口:天山路 威宁路,4号口:天山路,5号口:天山路,6号口:天山路","2","","Exit 1:Tianzhong Rd,Exit 2:Tianshan Rd,Exit 3:Tianshan Rd Weining Rd,Exit 4:Tianshan Rd,Exit 5:Tianshan Rd,Exit 6:Tianshan Rd"			
0239,"2号线:直升梯  地面-站台  往广兰路方向站台车头","3","","Line 2:Helicopter ladder  The ground to the platform  Guanglan Rd direction to the front of the platform"			
0240,"2号线:付费区  往广兰路方向车尾","1","1","Line 2:Pay Zone  Guanglan Rd direction to the rear of the platform"			
0240,"1号口:天山路 遵义路,2号口:天山路 娄山关路,3号口:天山路 天山商厦,4号口:天山路 天山电影院,","2","","Exit 1:Tianshan Rd Zunyi Rd,Exit 2:Tianshan Rd Loushanguan Rd,Exit 3:Tianshan Rd Tianshan Commercial Building,Exit 4:Tianshan Rd Tianshan Cinema,"			
0240,"2号线:直升梯  地面-站厅  1号口处,2号线:直升梯  站厅-站台  往广兰路方向站台车头","3","","Line 2:Helicopter ladder  The ground station hall  Exit 1,Line 2:Helicopter ladder  The station hall to the platform  Guanglan Rd direction to the front of the platform"			
0241,"2号线:付费区  往广兰路方向车头,3号线:非付费区  龙之梦通道,4号线:非付费区  龙之梦通道","1","1,0,0","Line 2:Pay Zone  Guanglan Rd direction to the front of the platform,Line 3:Non-paying zone  The Cloud Nine Shopping Mall channel,Line 4:Non-paying zone  The Cloud Nine Shopping Mall channel"			
0241,"1号口:凯旋路,2号口:凯旋路,3号口:凯旋路 长宁路,4号口:凯旋路 长宁路,5号口:长宁路,6号口:长宁路,7号口:汇川路,8号口:凯旋路","2","","Exit 1:Kaixuan Rd,Exit 2:Kaixuan Rd,Exit 3:Kaixuan Rd Changning Rd,Exit 4:Kaixuan Rd Changning Rd,Exit 5:Changning Rd,Exit 6:Changning Rd,Exit 7:Huichuan Rd,Exit 8:Kaixuan Rd"			
0241,"2号线:直升梯  地面-站厅  8号口全家超市旁,2号线:直升梯  站厅-站台  往广兰路方向站台车尾","3","","Line 2:Helicopter ladder  The ground station hall  Exit 8 FamilyMart,Line 2:Helicopter ladder  The station hall to the platform  Guanglan Rd direction to the rear of the platform"			
0242,"2号线:付费区  往广兰路方向车头,11号线:非付费区  近5号口","1","1,0","Line 2:Pay Zone  Guanglan Rd direction to the front of the platform,Line 11:Non-paying zone  Near Exit 5"			
