ST_NO,"FIRST_T_TIME","LAST_T_TIME","DESTINATION","DRAWING_NO"
000118,"18159","82223","000126","2014_10_30_11_40_25"
000118,"19539","82223","000138","2014_10_30_11_43_26"
000119,"20661","83661","000111","2014_10_30_11_40_25"
000119,"19677","82361","000138","2014_10_30_11_38_24"
000119,"18297","82361","000126","2014_10_30_11_40_25"
000119,"19677","82361","000138","2014_10_30_11_40_25"
000119,"20661","83661","000111","2014_10_30_11_43_26"
000119,"20661","83661","000111","2014_10_30_11_38_24"
000119,"19677","82361","000138","2014_10_30_11_43_26"
000119,"18297","82361","000126","2014_10_30_11_38_24"
000119,"18297","82361","000126","2014_10_30_11_43_26"
000120,"18419","82483","000126","2014_10_30_11_40_25"
000120,"19799","82483","000138","2014_10_30_11_40_25"
000120,"19799","82483","000138","2014_10_30_11_43_26"
000120,"20539","83539","000111","2014_10_30_11_40_25"
000120,"19799","82483","000138","2014_10_30_11_38_24"
000120,"20539","83539","000111","2014_10_30_11_38_24"
000120,"18419","82483","000126","2014_10_30_11_43_26"
000120,"20539","83539","000111","2014_10_30_11_43_26"
000120,"18419","82483","000126","2014_10_30_11_38_24"
000121,"20428","83428","000111","2014_10_30_11_40_25"
000121,"18535","82599","000126","2014_10_30_11_43_26"
000121,"19915","82599","000138","2014_10_30_11_38_24"
000121,"19915","82599","000138","2014_10_30_11_43_26"
000121,"18535","82599","000126","2014_10_30_11_40_25"
000121,"19915","82599","000138","2014_10_30_11_40_25"
000121,"20428","83428","000111","2014_10_30_11_43_26"
000121,"18535","82599","000126","2014_10_30_11_38_24"
000121,"20428","83428","000111","2014_10_30_11_38_24"
000122,"18666","82730","000126","2014_10_30_11_40_25"
000122,"20046","82730","000138","2014_10_30_11_40_25"
000122,"20046","82730","000138","2014_10_30_11_43_26"
000122,"20298","83298","000111","2014_10_30_11_40_25"
000122,"18666","82730","000126","2014_10_30_11_38_24"
000122,"20298","83298","000111","2014_10_30_11_38_24"
000122,"18666","82730","000126","2014_10_30_11_43_26"
000122,"20298","83298","000111","2014_10_30_11_43_26"
000122,"20046","82730","000138","2014_10_30_11_38_24"
000123,"20147","83147","000111","2014_10_30_11_40_25"
000123,"18850","82914","000126","2014_10_30_11_43_26"
000123,"20230","82914","000138","2014_10_30_11_38_24"
000123,"20230","82914","000138","2014_10_30_11_43_26"
000123,"18850","82914","000126","2014_10_30_11_40_25"
000123,"20230","82914","000138","2014_10_30_11_40_25"
000123,"20147","83147","000111","2014_10_30_11_43_26"
000123,"18850","82914","000126","2014_10_30_11_38_24"
000123,"20147","83147","000111","2014_10_30_11_38_24"
000124,"18952","83016","000126","2014_10_30_11_40_25"
000124,"20332","83016","000138","2014_10_30_11_40_25"
000124,"20332","83016","000138","2014_10_30_11_43_26"
000124,"20015","83015","000111","2014_10_30_11_40_25"
000124,"18952","83016","000126","2014_10_30_11_38_24"
000124,"20015","83015","000111","2014_10_30_11_38_24"
000124,"18952","83016","000126","2014_10_30_11_43_26"
000124,"20015","83015","000111","2014_10_30_11_43_26"
000124,"20332","83016","000138","2014_10_30_11_38_24"
000125,"19908","82908","000111","2014_10_30_11_40_25"
000125,"19064","83128","000126","2014_10_30_11_43_26"
000125,"20444","83128","000138","2014_10_30_11_38_24"
000125,"20444","83128","000138","2014_10_30_11_43_26"
000125,"19908","82908","000111","2014_10_30_11_43_26"
000125,"19064","83128","000126","2014_10_30_11_40_25"
000125,"20444","83128","000138","2014_10_30_11_40_25"
000125,"19064","83128","000126","2014_10_30_11_38_24"
000125,"19908","82908","000111","2014_10_30_11_38_24"
000126,"—","—","000126","2014_10_30_11_40_25"
000126,"20610","83294","000138","2014_10_30_11_40_25"
000126,"20610","83294","000138","2014_10_30_11_43_26"
000126,"19800","82800","000111","2014_10_30_11_40_25"
000126,"—","—","000126","2014_10_30_11_38_24"
000126,"19800","82800","000111","2014_10_30_11_38_24"
000126,"—","—","000126","2014_10_30_11_43_26"
000126,"19800","82800","000111","2014_10_30_11_43_26"
000126,"20610","83294","000138","2014_10_30_11_38_24"
000127,"19943","82649","000111","2014_10_30_11_40_25"
000127,"—","—","000126","2014_10_30_11_43_26"
000127,"20753","83437","000138","2014_10_30_11_38_24"
000127,"20753","83437","000138","2014_10_30_11_43_26"
000127,"—","—","000126","2014_10_30_11_40_25"
000127,"20753","83437","000138","2014_10_30_11_40_25"
000127,"20042","82649","000111","2014_10_30_11_43_26"
000127,"—","—","000126","2014_10_30_11_38_24"
000127,"21422","82649","000111","2014_10_30_11_38_24"
000128,"—","—","000126","2014_10_30_11_43_26"
000128,"—","—","000126","2014_10_30_11_40_25"
000128,"20907","83591","000138","2014_10_30_11_40_25"
000128,"20907","83591","000138","2014_10_30_11_43_26"
000128,"19789","82503","000111","2014_10_30_11_40_25"
000128,"—","—","000126","2014_10_30_11_38_24"
000128,"21336","82503","000111","2014_10_30_11_38_24"
000128,"19896","82503","000111","2014_10_30_11_43_26"
000128,"20907","83591","000138","2014_10_30_11_38_24"
000129,"19669","82384","000111","2014_10_30_11_40_25"
000129,"—","—","000126","2014_10_30_11_43_26"
000129,"21027","83711","000138","2014_10_30_11_38_24"
000129,"21027","83711","000138","2014_10_30_11_43_26"
000129,"—","—","000126","2014_10_30_11_40_25"
000129,"21027","83711","000138","2014_10_30_11_40_25"
000129,"19777","82384","000111","2014_10_30_11_43_26"
000129,"—","—","000126","2014_10_30_11_38_24"
000129,"21217","82384","000111","2014_10_30_11_38_24"
000130,"19621","82228","000111","2014_10_30_11_43_26"
000130,"19499","82228","000111","2014_10_30_11_40_25"
000130,"21001","82228","000111","2014_10_30_11_38_24"
000130,"21175","83859","000138","2014_10_30_11_43_26"
000130,"21175","83859","000138","2014_10_30_11_38_24"
000130,"—","—","000126","2014_10_30_11_43_26"
000130,"—","—","000126","2014_10_30_11_40_25"
000130,"—","—","000126","2014_10_30_11_38_24"
000130,"21175","83859","000138","2014_10_30_11_40_25"
000131,"—","—","000126","2014_10_30_11_38_24"
000131,"19460","82067","000111","2014_10_30_11_43_26"
000131,"20840","82067","000111","2014_10_30_11_38_24"
000131,"—","—","000126","2014_10_30_11_43_26"
000131,"21341","84025","000138","2014_10_30_11_43_26"
000131,"19318","82067","000111","2014_10_30_11_40_25"
000131,"21341","84025","000138","2014_10_30_11_38_24"
000131,"—","—","000126","2014_10_30_11_40_25"
000131,"21341","84025","000138","2014_10_30_11_40_25"
000132,"19299","81906","000111","2014_10_30_11_43_26"
000132,"20739","81906","000111","2014_10_30_11_38_24"
000132,"—","—","000126","2014_10_30_11_38_24"
000132,"19139","81906","000111","2014_10_30_11_40_25"
000132,"21497","84181","000138","2014_10_30_11_43_26"
000132,"—","—","000126","2014_10_30_11_40_25"
000132,"—","—","000126","2014_10_30_11_43_26"
000132,"21497","84181","000138","2014_10_30_11_38_24"
000132,"21497","84181","000138","2014_10_30_11_40_25"
000133,"—","—","000126","2014_10_30_11_43_26"
000133,"20520","81747","000111","2014_10_30_11_38_24"
000133,"—","—","000126","2014_10_30_11_40_25"
000133,"19140","81747","000111","2014_10_30_11_43_26"
000133,"21655","84339","000138","2014_10_30_11_38_24"
000133,"18964","81747","000111","2014_10_30_11_40_25"
000133,"—","—","000126","2014_10_30_11_38_24"
000133,"21655","84339","000138","2014_10_30_11_40_25"
000133,"21655","84339","000138","2014_10_30_11_43_26"
000134,"20446","81613","000111","2014_10_30_11_38_24"
000134,"21783","84467","000138","2014_10_30_11_38_24"
000134,"18817","81613","000111","2014_10_30_11_40_25"
000134,"21783","84467","000138","2014_10_30_11_43_26"
000134,"19006","81613","000111","2014_10_30_11_43_26"
000134,"21783","84467","000138","2014_10_30_11_40_25"
000134,"—","—","000126","2014_10_30_11_38_24"
000134,"—","—","000126","2014_10_30_11_40_25"
000134,"—","—","000126","2014_10_30_11_43_26"
000135,"20273","81440","000111","2014_10_30_11_38_24"
000135,"21952","84636","000138","2014_10_30_11_43_26"
000135,"21952","84636","000138","2014_10_30_11_40_25"
000135,"18833","81440","000111","2014_10_30_11_43_26"
000135,"18624","81440","000111","2014_10_30_11_40_25"
000135,"—","—","000126","2014_10_30_11_43_26"
000135,"21952","84636","000138","2014_10_30_11_38_24"
000135,"—","—","000126","2014_10_30_11_38_24"
000135,"—","—","000126","2014_10_30_11_40_25"
000136,"22103","84787","000138","2014_10_30_11_43_26"
000136,"20044","81271","000111","2014_10_30_11_38_24"
000136,"—","—","000126","2014_10_30_11_43_26"
000136,"—","—","000126","2014_10_30_11_38_24"
000136,"22103","84787","000138","2014_10_30_11_40_25"
000136,"18453","81271","000111","2014_10_30_11_40_25"
000136,"18664","81271","000111","2014_10_30_11_43_26"
000136,"22103","84787","000138","2014_10_30_11_38_24"
000136,"—","—","000126","2014_10_30_11_40_25"
000137,"22238","84922","000138","2014_10_30_11_38_24"
000137,"22238","84922","000138","2014_10_30_11_43_26"
000137,"—","—","000126","2014_10_30_11_40_25"
000137,"18530","81137","000111","2014_10_30_11_43_26"
000137,"—","—","000126","2014_10_30_11_38_24"
000137,"19970","81137","000111","2014_10_30_11_38_24"
000137,"22238","84922","000138","2014_10_30_11_40_25"
000137,"18314","81137","000111","2014_10_30_11_40_25"
000137,"—","—","000126","2014_10_30_11_43_26"
000138,"18168","81000","000111","2014_10_30_11_40_25"
000138,"19833","81000","000111","2014_10_30_11_38_24"
000138,"18393","81000","000111","2014_10_30_11_43_26"
000138,"—","—","000138","2014_10_30_11_40_25"
000138,"—","—","000138","2014_10_30_11_43_26"
000138,"—","—","000126","2014_10_30_11_38_24"
000138,"—","—","000126","2014_10_30_11_43_26"
000138,"—","—","000126","2014_10_30_11_40_25"
000138,"—","—","000138","2014_10_30_11_38_24"
000234,"19800","84400","000237","2015_4_17_9_13_53"
000234,"—","—","000263","2014_10_30_15_6_25"
000234,"—","—","000263","2014_11_28_18_44_23"
000234,"19800","81900","000255","2015_4_17_9_13_53"
000234,"—","—","000234","2015_4_17_9_11_38"
000234,"—","—","000263","2015_4_17_9_10_36"
000234,"—","—","000263","2015_4_17_9_11_38"
000234,"—","—","000234","2014_11_28_18_44_23"
000234,"—","—","000234","2015_4_17_9_10_36"
000234,"19800","84400","000237","2015_4_17_9_11_38"
000234,"—","—","000263","2015_4_17_9_13_53"
000234,"19800","81900","000255","2015_4_17_9_10_36"
000234,"19800","81900","000255","2014_11_28_18_44_23"
000234,"19800","84400","000237","2015_4_17_9_10_36"
000234,"—","—","000234","2014_10_30_15_6_25"
000234,"19800","81900","000255","2014_10_30_15_9_26"
000234,"—","—","000234","2015_4_17_9_13_53"
000234,"19800","81900","000255","2015_4_17_9_11_38"
000234,"19800","81900","000255","2014_10_30_15_6_25"
000234,"—","—","000263","2014_10_30_15_9_26"
000234,"—","—","000234","2014_10_30_15_9_26"
000235,"—","—","000263","2014_11_28_18_44_23"
000235,"22030","85230","000234","2015_4_17_9_13_53"
000235,"20000","82100","000255","2014_10_30_15_9_26"
000235,"22030","85230","000234","2014_11_28_18_44_23"
000235,"—","—","000263","2015_4_17_9_10_36"
000235,"22030","85230","000234","2015_4_17_9_10_36"
000235,"—","—","000263","2014_10_30_15_9_26"
000235,"20000","82100","000255","2015_4_17_9_10_36"
000235,"20000","82100","000255","2015_4_17_9_13_53"
000235,"20000","84600","000237","2015_4_17_9_13_53"
000235,"22030","85230","000234","2014_10_30_15_9_26"
000235,"20000","84600","000237","2015_4_17_9_10_36"
000235,"—","—","000263","2015_4_17_9_13_53"
000235,"20000","84600","000237","2015_4_17_9_11_38"
000235,"22030","85230","000234","2015_4_17_9_11_38"
000235,"—","—","000263","2014_10_30_15_6_25"
000235,"20000","82100","000255","2014_10_30_15_6_25"
000235,"22030","85230","000234","2014_10_30_15_6_25"
000235,"20000","82100","000255","2014_11_28_18_44_23"
000235,"20000","82100","000255","2015_4_17_9_11_38"
000235,"—","—","000263","2015_4_17_9_11_38"
000236,"20120","82220","000255","2014_11_28_18_44_23"
000236,"—","—","000263","2014_11_28_18_44_23"
000236,"21910","85110","000234","2014_10_30_15_9_26"
000236,"20120","82220","000255","2014_10_30_15_6_25"
000236,"21910","85110","000234","2015_4_17_9_13_53"
000236,"20120","82220","000255","2014_10_30_15_9_26"
000236,"20120","84720","000237","2015_4_17_9_10_36"
000236,"—","—","000263","2014_10_30_15_6_25"
000236,"20120","82220","000255","2015_4_17_9_13_53"
000236,"—","—","000263","2015_4_17_9_10_36"
000236,"21910","85110","000234","2014_11_28_18_44_23"
000236,"21910","85110","000234","2015_4_17_9_10_36"
000236,"20120","84720","000237","2015_4_17_9_11_38"
000236,"20120","82220","000255","2015_4_17_9_10_36"
000236,"20120","84720","000237","2015_4_17_9_13_53"
000236,"—","—","000263","2014_10_30_15_9_26"
000236,"21910","85110","000234","2014_10_30_15_6_25"
000236,"21910","85110","000234","2015_4_17_9_11_38"
000236,"—","—","000263","2015_4_17_9_13_53"
000236,"20120","82220","000255","2015_4_17_9_11_38"
000236,"—","—","000263","2015_4_17_9_11_38"
000237,"21490","84690","000234","2014_11_28_18_44_23"
000237,"21490","84690","000234","2015_4_17_9_13_53"
000237,"20535","82635","000255","2015_4_17_9_13_53"
000237,"20535","82635","000255","2014_10_30_15_9_26"
000237,"20535","82635","000255","2014_10_30_15_6_25"
000237,"21490","84690","000234","2014_10_30_15_9_26"
000237,"—","—","000263","2015_4_17_9_11_38"
000237,"20535","82635","000255","2015_4_17_9_11_38"
000237,"—","—","000263","2014_10_30_15_6_25"
000237,"—","—","000237","2015_4_17_9_10_36"
000237,"—","—","000263","2015_4_17_9_10_36"
000237,"20535","82635","000255","2015_4_17_9_10_36"
000237,"—","—","000263","2014_11_28_18_44_23"
000237,"20535","82635","000255","2014_11_28_18_44_23"
000237,"—","—","000237","2015_4_17_9_13_53"
000237,"21490","84690","000234","2015_4_17_9_10_36"
000237,"—","—","000263","2014_10_30_15_9_26"
000237,"—","—","000263","2015_4_17_9_13_53"
000237,"—","—","000237","2015_4_17_9_11_38"
000237,"21490","84690","000234","2015_4_17_9_11_38"
000237,"21490","84690","000234","2014_10_30_15_6_25"
000238,"—","—","000263","2015_4_17_9_11_38"
000238,"20671","82771","000255","2015_4_17_9_11_38"
000238,"—","—","000263","2014_11_28_18_44_23"
000238,"21343","84543","000234","2014_10_30_15_9_26"
000238,"20671","82771","000255","2014_10_30_15_6_25"
000238,"21343","84543","000234","2015_4_17_9_13_53"
000238,"20671","82771","000255","2014_10_30_15_9_26"
000238,"21343","84543","000237","2015_4_17_9_10_36"
000238,"—","—","000263","2014_10_30_15_6_25"
000238,"20671","82771","000255","2015_4_17_9_13_53"
000238,"20671","82771","000255","2014_11_28_18_44_23"
000238,"—","—","000263","2015_4_17_9_10_36"
000238,"21343","84543","000234","2014_11_28_18_44_23"
000238,"21343","84543","000234","2015_4_17_9_10_36"
000238,"21343","84543","000237","2015_4_17_9_13_53"
000238,"21343","84543","000237","2015_4_17_9_11_38"
000238,"20671","82771","000255","2015_4_17_9_10_36"
000238,"—","—","000263","2014_10_30_15_9_26"
000238,"21343","84543","000234","2014_10_30_15_6_25"
000238,"21343","84543","000234","2015_4_17_9_11_38"
000238,"—","—","000263","2015_4_17_9_13_53"
000239,"20802","82902","000255","2014_11_28_18_44_23"
000239,"21210","84410","000234","2014_11_28_18_44_23"
000239,"—","—","000263","2015_4_17_9_10_36"
000239,"21210","84410","000234","2015_4_17_9_10_36"
000239,"21210","84410","000237","2015_4_17_9_10_36"
000239,"—","—","000263","2014_10_30_15_6_25"
000239,"21210","84410","000234","2015_4_17_9_11_38"
000239,"21210","84410","000237","2015_4_17_9_11_38"
000239,"20802","82902","000255","2015_4_17_9_11_38"
000239,"—","—","000263","2015_4_17_9_11_38"
000239,"21210","84410","000237","2015_4_17_9_13_53"
000239,"—","—","000263","2015_4_17_9_13_53"
000239,"21210","84410","000234","2014_10_30_15_9_26"
000239,"21210","84410","000234","2014_10_30_15_6_25"
000239,"20802","82902","000255","2014_10_30_15_6_25"
000239,"—","—","000263","2014_11_28_18_44_23"
000239,"20802","82902","000255","2014_10_30_15_9_26"
000239,"20802","82902","000255","2015_4_17_9_13_53"
000239,"20802","82902","000255","2015_4_17_9_10_36"
000239,"21210","84410","000234","2015_4_17_9_13_53"
000239,"—","—","000263","2014_10_30_15_9_26"
000240,"21058","84258","000234","2014_11_28_18_44_23"
000240,"—","—","000263","2015_4_17_9_10_36"
000240,"21058","84258","000234","2015_4_17_9_10_36"
000240,"21058","84258","000237","2015_4_17_9_13_53"
000240,"21058","84258","000237","2015_4_17_9_11_38"
000240,"20954","83054","000255","2015_4_17_9_10_36"
000240,"—","—","000263","2014_10_30_15_9_26"
000240,"21058","84258","000234","2014_10_30_15_6_25"
000240,"21058","84258","000234","2015_4_17_9_11_38"
000240,"—","—","000263","2015_4_17_9_13_53"
000240,"20954","83054","000255","2015_4_17_9_11_38"
000240,"—","—","000263","2015_4_17_9_11_38"
000240,"—","—","000263","2014_11_28_18_44_23"
000240,"21058","84258","000234","2014_10_30_15_9_26"
000240,"20954","83054","000255","2014_10_30_15_6_25"
000240,"20954","83054","000255","2015_4_17_9_13_53"
000240,"21058","84258","000234","2015_4_17_9_13_53"
000240,"20954","83054","000255","2014_10_30_15_9_26"
000240,"21058","84258","000237","2015_4_17_9_10_36"
000240,"—","—","000263","2014_10_30_15_6_25"
000240,"20954","83054","000255","2014_11_28_18_44_23"
000241,"20903","84103","000234","2014_11_28_18_44_23"
000241,"—","—","000263","2015_4_17_9_10_36"
000241,"—","—","000263","2014_10_30_15_6_25"
000241,"21126","83226","000255","2014_10_30_15_6_25"
000241,"20903","84103","000234","2014_10_30_15_6_25"
000241,"21126","83226","000255","2015_4_17_9_11_38"
000241,"20903","84103","000234","2015_4_17_9_11_38"
000241,"20903","84103","000237","2015_4_17_9_11_38"
000241,"21126","83226","000255","2014_10_30_15_9_26"
000241,"—","—","000263","2015_4_17_9_13_53"
000241,"21126","83226","000255","2015_4_17_9_13_53"
000241,"—","—","000263","2015_4_17_9_11_38"
000241,"—","—","000263","2014_10_30_15_9_26"
000241,"20903","84103","000234","2015_4_17_9_10_36"
000241,"20903","84103","000234","2015_4_17_9_13_53"
000241,"20903","84103","000234","2014_10_30_15_9_26"
000241,"20903","84103","000237","2015_4_17_9_13_53"
000241,"20903","84103","000237","2015_4_17_9_10_36"
000241,"—","—","000263","2014_11_28_18_44_23"
000241,"21126","83226","000255","2015_4_17_9_10_36"
000241,"21126","83226","000255","2014_11_28_18_44_23"
000242,"20716","83916","000234","2014_11_28_18_44_23"
000242,"—","—","000263","2015_4_17_9_10_36"
000242,"21287","83387","000255","2014_11_28_18_44_23"
000242,"20716","83916","000234","2014_10_30_15_9_26"
000242,"—","—","000263","2014_10_30_15_6_25"
000242,"20716","83916","000237","2015_4_17_9_10_36"
000242,"21287","83387","000255","2014_10_30_15_9_26"
000242,"20716","83916","000234","2015_4_17_9_13_53"
000242,"21287","83387","000255","2015_4_17_9_13_53"
000242,"21287","83387","000255","2014_10_30_15_6_25"
000242,"—","—","000263","2014_11_28_18_44_23"
000242,"—","—","000263","2015_4_17_9_11_38"
000242,"21287","83387","000255","2015_4_17_9_11_38"
000242,"—","—","000263","2015_4_17_9_13_53"
000242,"20716","83916","000237","2015_4_17_9_13_53"
000242,"20716","83916","000234","2015_4_17_9_11_38"
000242,"20716","83916","000234","2014_10_30_15_6_25"
000242,"—","—","000263","2014_10_30_15_9_26"
000242,"21287","83387","000255","2015_4_17_9_10_36"
000242,"20716","83916","000237","2015_4_17_9_11_38"
000242,"20716","83916","000234","2015_4_17_9_10_36"
000243,"20575","83775","000234","2014_10_30_15_9_26"
000243,"—","—","000263","2014_10_30_15_6_25"
000243,"20575","83775","000237","2015_4_17_9_10_36"
000243,"—","—","000263","2015_4_17_9_10_36"
000243,"20575","83775","000234","2014_10_30_15_6_25"
000243,"21429","83529","000255","2014_11_28_18_44_23"
000243,"20575","83775","000234","2014_11_28_18_44_23"
000243,"20575","83775","000234","2015_4_17_9_13_53"
000243,"21429","83529","000255","2015_4_17_9_13_53"
000243,"21429","83529","000255","2014_10_30_15_9_26"
000243,"21429","83529","000255","2014_10_30_15_6_25"
000243,"—","—","000263","2015_4_17_9_11_38"
000243,"21429","83529","000255","2015_4_17_9_11_38"
000243,"21429","83529","000255","2015_4_17_9_10_36"
000243,"—","—","000263","2014_11_28_18_44_23"
000243,"20575","83775","000237","2015_4_17_9_13_53"
000243,"20575","83775","000234","2015_4_17_9_10_36"
000243,"—","—","000263","2014_10_30_15_9_26"
000243,"—","—","000263","2015_4_17_9_13_53"
000243,"20575","83775","000237","2015_4_17_9_11_38"
000243,"20575","83775","000234","2015_4_17_9_11_38"
000244,"20426","83626","000237","2015_4_17_9_11_38"
000244,"20426","83626","000234","2015_4_17_9_10_36"
000244,"—","—","000263","2014_11_28_18_44_23"
000244,"—","—","000263","2015_4_17_9_11_38"
000244,"21574","83674","000255","2015_4_17_9_11_38"
000244,"—","—","000263","2015_4_17_9_13_53"
000244,"20426","83626","000237","2015_4_17_9_13_53"
000244,"20426","83626","000234","2015_4_17_9_11_38"
000244,"20426","83626","000234","2014_10_30_15_6_25"
000244,"—","—","000263","2014_10_30_15_9_26"
000244,"21574","83674","000255","2015_4_17_9_10_36"
000244,"20426","83626","000234","2014_11_28_18_44_23"
000244,"20426","83626","000237","2015_4_17_9_10_36"
000244,"21574","83674","000255","2014_11_28_18_44_23"
000244,"20426","83626","000234","2014_10_30_15_9_26"
000244,"—","—","000263","2014_10_30_15_6_25"
000244,"—","—","000263","2015_4_17_9_10_36"
000244,"21574","83674","000255","2014_10_30_15_9_26"
000244,"20426","83626","000234","2015_4_17_9_13_53"
000244,"21574","83674","000255","2015_4_17_9_13_53"
000244,"21574","83674","000255","2014_10_30_15_6_25"
000245,"20286","83486","000234","2014_10_30_15_9_26"
000245,"—","—","000263","2014_10_30_15_6_25"
000245,"—","—","000263","2015_4_17_9_10_36"
000245,"21733","83833","000255","2014_11_28_18_44_23"
000245,"20286","83486","000234","2014_11_28_18_44_23"
000245,"20286","83486","000234","2015_4_17_9_13_53"
000245,"21733","83833","000255","2015_4_17_9_13_53"
000245,"21733","83833","000255","2014_10_30_15_9_26"
000245,"21733","83833","000255","2014_10_30_15_6_25"
000245,"20286","83486","000237","2015_4_17_9_10_36"
000245,"—","—","000263","2015_4_17_9_11_38"
000245,"21733","83833","000255","2015_4_17_9_11_38"
000245,"21733","83833","000255","2015_4_17_9_10_36"
000245,"—","—","000263","2014_11_28_18_44_23"
000245,"20286","83486","000237","2015_4_17_9_13_53"
000245,"20286","83486","000234","2015_4_17_9_10_36"
000245,"—","—","000263","2014_10_30_15_9_26"
000245,"—","—","000263","2015_4_17_9_13_53"
000245,"20286","83486","000237","2015_4_17_9_11_38"
000245,"20286","83486","000234","2015_4_17_9_11_38"
000245,"20286","83486","000234","2014_10_30_15_6_25"
000246,"20139","83339","000237","2015_4_17_9_11_38"
000246,"20139","83339","000234","2015_4_17_9_10_36"
000246,"—","—","000263","2014_11_28_18_44_23"
000246,"—","—","000263","2015_4_17_9_11_38"
000246,"21865","83965","000255","2015_4_17_9_11_38"
000246,"—","—","000263","2015_4_17_9_13_53"
000246,"20139","83339","000237","2015_4_17_9_13_53"
000246,"20139","83339","000234","2015_4_17_9_11_38"
000246,"20139","83339","000234","2014_10_30_15_6_25"
000246,"—","—","000263","2014_10_30_15_9_26"
000246,"21865","83965","000255","2015_4_17_9_10_36"
000246,"20139","83339","000234","2014_11_28_18_44_23"
000246,"20139","83339","000237","2015_4_17_9_10_36"
000246,"21865","83965","000255","2014_11_28_18_44_23"
000246,"20139","83339","000234","2014_10_30_15_9_26"
000246,"—","—","000263","2014_10_30_15_6_25"
000246,"—","—","000263","2015_4_17_9_10_36"
000246,"21865","83965","000255","2014_10_30_15_9_26"
000246,"20139","83339","000234","2015_4_17_9_13_53"
000246,"21865","83965","000255","2015_4_17_9_13_53"
000246,"21865","83965","000255","2014_10_30_15_6_25"
000247,"19972","83172","000234","2014_10_30_15_9_26"
000247,"—","—","000263","2014_10_30_15_6_25"
000247,"—","—","000263","2015_4_17_9_10_36"
000247,"—","—","000263","2014_10_30_15_9_26"
000247,"22032","84132","000255","2014_11_28_18_44_23"
000247,"19972","83172","000234","2014_11_28_18_44_23"
000247,"19972","83172","000234","2015_4_17_9_13_53"
000247,"22032","84132","000255","2015_4_17_9_13_53"
000247,"22032","84132","000255","2014_10_30_15_9_26"
